"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","actin binding","GO:0003779","3.109477795402193e-10","9.507312540110703","146","180","19","11759","FBGN0264489,FBGN0036044,FBGN0053519,FBGN0265991,FBGN0264695,FBGN0039897,FBGN0051374,FBGN0261836,FBGN0000667,FBGN0028371,FBGN0283471,FBGN0004117,FBGN0053556,FBGN0260463,FBGN0035917,FBGN0023540,FBGN0051352,FBGN0026059,FBGN0013733"
"GO:MF","cytoskeletal protein binding","GO:0008092","0.000003439172289968845","5.463546067065888","342","145","19","11759","FBGN0264489,FBGN0036044,FBGN0004169,FBGN0053519,FBGN0265991,FBGN0264695,FBGN0039897,FBGN0051374,FBGN0261836,FBGN0000667,FBGN0002772,FBGN0028371,FBGN0283471,FBGN0004117,FBGN0053556,FBGN0260463,FBGN0035917,FBGN0023540,FBGN0051352"
"GO:MF","muscle alpha-actinin binding","GO:0051371","0.000003439172289968845","5.463546067065888","5","16","3","11759","FBGN0264489,FBGN0036044,FBGN0265991"
"GO:MF","actinin binding","GO:0042805","0.000003439172289968845","5.463546067065888","6","16","3","11759","FBGN0264489,FBGN0036044,FBGN0265991"
"GO:MF","alpha-actinin binding","GO:0051393","0.000003439172289968845","5.463546067065888","6","16","3","11759","FBGN0264489,FBGN0036044,FBGN0265991"
"GO:MF","calcium ion binding","GO:0005509","0.0000066700697095391416","5.175869627206392","205","180","16","11759","FBGN0033027,FBGN0004169,FBGN0035798,FBGN0011286,FBGN0022160,FBGN0284247,FBGN0000667,FBGN0002772,FBGN0030706,FBGN0002773,FBGN0004580,FBGN0266758,FBGN0010424,FBGN0031879,FBGN0261260,FBGN0013733"
"GO:MF","actin filament binding","GO:0051015","0.000009684273459143698","5.013932955690409","77","172","10","11759","FBGN0053519,FBGN0264695,FBGN0051374,FBGN0261836,FBGN0000667,FBGN0028371,FBGN0004117,FBGN0260463,FBGN0051352,FBGN0026059"
"GO:MF","structural constituent of muscle","GO:0008307","0.0003774762070342512","3.4231104174901152","15","32","3","11759","FBGN0005633,FBGN0005666,FBGN0264695"
"GO:MF","tropomyosin binding","GO:0005523","0.0003774762070342512","3.4231104174901152","4","14","2","11759","FBGN0004169,FBGN0053519"
"GO:MF","myosin light chain kinase activity","GO:0004687","0.001137852351350391","2.943914088691327","3","36","2","11759","FBGN0265045,FBGN0259680"
"GO:MF","isocitrate dehydrogenase (NAD+) activity","GO:0004449","0.002180075174340724","2.6615285305979355","6","170","3","11759","FBGN0039358,FBGN0038922,FBGN0027291"
"GO:MF","isocitrate dehydrogenase activity","GO:0004448","0.0034600171322418886","2.4609217507969072","7","170","3","11759","FBGN0039358,FBGN0038922,FBGN0027291"
