"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of ribosome","GO:0003735","2.9968603856108616e-17","16.523333489010025","175","178","27","11759","FBGN0039359,FBGN0002579,FBGN0036825,FBGN0039300,FBGN0285949,FBGN0037686,FBGN0032987,FBGN0003517,FBGN0064225,FBGN0011284,FBGN0002590,FBGN0019936,FBGN0010408,FBGN0037351,FBGN0285950,FBGN0029897,FBGN0034138,FBGN0010412,FBGN0010078,FBGN0003942,FBGN0035422,FBGN0028697,FBGN0033912,FBGN0020910,FBGN0261592,FBGN0017579,FBGN0017545"
"GO:MF","oxidoreductase activity, acting on the CH-NH group of donors","GO:0016645","0.000005666119932717519","5.246714237163593","28","90","6","11759","FBGN0010222,FBGN0020385,FBGN0034276,FBGN0036750,FBGN0033820,FBGN0038516"
"GO:MF","methylenetetrahydrofolate dehydrogenase (NADP+) activity","GO:0004488","0.000010616262021260603","4.974028371136149","3","63","3","11759","FBGN0010222,FBGN0020385,FBGN0033820"
"GO:MF","methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity","GO:0004486","0.000010616262021260603","4.974028371136149","3","63","3","11759","FBGN0010222,FBGN0020385,FBGN0033820"
"GO:MF","methenyltetrahydrofolate cyclohydrolase activity","GO:0004477","0.00005042046089751046","4.297393188720449","2","11","2","11759","FBGN0010222,FBGN0020385"
"GO:MF","cyclohydrolase activity","GO:0019238","0.00008466735004847219","4.072284032732605","4","86","3","11759","FBGN0010222,FBGN0020385,FBGN0039241"
"GO:MF","tetrapyrrole binding","GO:0046906","0.00010575510828068512","3.975698645754029","140","125","10","11759","FBGN0041337,FBGN0031182,FBGN0000406,FBGN0033397,FBGN0038194,FBGN0050489,FBGN0025454,FBGN0027657,FBGN0038681,FBGN0038465"
"GO:MF","heme binding","GO:0020037","0.00010575510828068512","3.975698645754029","139","125","10","11759","FBGN0041337,FBGN0031182,FBGN0000406,FBGN0033397,FBGN0038194,FBGN0050489,FBGN0025454,FBGN0027657,FBGN0038681,FBGN0038465"
"GO:MF","monooxygenase activity","GO:0004497","0.00017078835491916907","3.767541744693616","116","67","7","11759","FBGN0033079,FBGN0041337,FBGN0031182,FBGN0033397,FBGN0038194,FBGN0050489,FBGN0025454"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705","0.00022677332752171097","3.644408027342339","173","67","8","11759","FBGN0014903,FBGN0033079,FBGN0041337,FBGN0031182,FBGN0033397,FBGN0038194,FBGN0050489,FBGN0025454"
"GO:MF","ribosome binding","GO:0043022","0.000237323040895185","3.624660095546374","32","175","6","11759","FBGN0284252,FBGN0003517,FBGN0030151,FBGN0285952,FBGN0020618,FBGN0000559"
"GO:MF","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","GO:0016646","0.00030574765012989386","3.5146368721151995","18","90","4","11759","FBGN0010222,FBGN0020385,FBGN0033820,FBGN0038516"
