"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","oxidoreductase activity, acting on CH-OH group of donors","GO:0016614","1.6076120059324804e-9","8.793818759079432","136","171","17","11759","FBGN0040349,FBGN0022359,FBGN0061356,FBGN0037975,FBGN0030968,FBGN0038878,FBGN0027552,FBGN0011693,FBGN0086254,FBGN0004654,FBGN0283427,FBGN0014032,FBGN0037973,FBGN0030593,FBGN0039040,FBGN0262782,FBGN0000055"
"GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","8.720850935616294e-9","8.059441136786205","113","171","15","11759","FBGN0040349,FBGN0022359,FBGN0037975,FBGN0030968,FBGN0038878,FBGN0027552,FBGN0011693,FBGN0086254,FBGN0004654,FBGN0283427,FBGN0014032,FBGN0037973,FBGN0039040,FBGN0262782,FBGN0000055"
"GO:MF","oxidoreductase activity, acting on the CH-NH group of donors","GO:0016645","0.00000672241996133069","5.172474359883292","28","47","5","11759","FBGN0034276,FBGN0036750,FBGN0020385,FBGN0037975,FBGN0033820"
"GO:MF","oxidoreductase activity, acting on the aldehyde or oxo group of donors","GO:0016903","0.000046779616533964785","4.3299433425496465","48","182","8","11759","FBGN0012036,FBGN0036857,FBGN0037146,FBGN0043792,FBGN0039349,FBGN0000055,FBGN0051075,FBGN0267408"
"GO:MF","monooxygenase activity","GO:0004497","0.000050383208711232096","4.2977141774253","116","77","8","11759","FBGN0041337,FBGN0025454,FBGN0033397,FBGN0034943,FBGN0033079,FBGN0030615,FBGN0031694,FBGN0038194"
"GO:MF","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","GO:0016620","0.000050383208711232096","4.2977141774253","37","172","7","11759","FBGN0012036,FBGN0036857,FBGN0037146,FBGN0043792,FBGN0039349,FBGN0000055,FBGN0051075"
"GO:MF","methyl indole-3-acetate esterase activity","GO:0080030","0.00012882676868424724","3.8899938863244006","32","156","6","11759","FBGN0004045,FBGN0004047,FBGN0005391,FBGN0000592,FBGN0031327,FBGN0032029"
"GO:MF","heme binding","GO:0020037","0.00012882676868424724","3.8899938863244006","139","129","10","11759","FBGN0041337,FBGN0000406,FBGN0025454,FBGN0033397,FBGN0030615,FBGN0031694,FBGN0038194,FBGN0027657,FBGN0038465,FBGN0087002"
"GO:MF","carboxylic ester hydrolase activity","GO:0052689","0.00012882676868424724","3.8899938863244006","145","156","11","11759","FBGN0004045,FBGN0038257,FBGN0004047,FBGN0050503,FBGN0033170,FBGN0005391,FBGN0030239,FBGN0000592,FBGN0030362,FBGN0031327,FBGN0032029"
"GO:MF","tetrapyrrole binding","GO:0046906","0.00012882676868424724","3.8899938863244006","140","129","10","11759","FBGN0041337,FBGN0000406,FBGN0025454,FBGN0033397,FBGN0030615,FBGN0031694,FBGN0038194,FBGN0027657,FBGN0038465,FBGN0087002"
