"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","3-phosphoinositide-dependent protein kinase activity","GO:0004676","0.008419083255378323","2.0747351957694806","1","3","1","11759","FBGN0020386"
"GO:MF","kinase activator activity","GO:0019209","0.08119081431581376","1.0904931027491487","29","3","1","11759","FBGN0020386"
"GO:MF","protein kinase activator activity","GO:0030295","0.08119081431581376","1.0904931027491487","28","3","1","11759","FBGN0020386"
"GO:MF","kinase regulator activity","GO:0019207","0.12517250363267213","0.9024910611582615","84","3","1","11759","FBGN0020386"
"GO:MF","protein kinase regulator activity","GO:0019887","0.12517250363267213","0.9024910611582615","76","3","1","11759","FBGN0020386"
"GO:MF","protein threonine kinase activity","GO:0106311","0.12517250363267213","0.9024910611582615","105","3","1","11759","FBGN0020386"
"GO:MF","protein serine kinase activity","GO:0106310","0.12517250363267213","0.9024910611582615","105","3","1","11759","FBGN0020386"
"GO:BP","response to hyperoxia","GO:0055093","0.11044217580084773","0.9568650459933521","9","2","1","11706","FBGN0012042"
"GO:BP","response to increased oxygen levels","GO:0036296","0.11044217580084773","0.9568650459933521","10","2","1","11706","FBGN0012042"
"GO:BP","defense response to insect","GO:0002213","0.11044217580084773","0.9568650459933521","7","2","1","11706","FBGN0012042"
"GO:BP","positive regulation of protein kinase B signaling","GO:0051897","0.11178926843444276","0.9515998859254805","9","3","1","11706","FBGN0020386"
"GO:BP","regulation of protein kinase B signaling","GO:0051896","0.12409357590804285","0.9062507005311023","17","3","1","11706","FBGN0020386"
"GO:BP","peptidyl-threonine modification","GO:0018210","0.12409357590804285","0.9062507005311023","20","3","1","11706","FBGN0020386"
"GO:BP","protein kinase B signaling","GO:0043491","0.12409357590804285","0.9062507005311023","19","3","1","11706","FBGN0020386"
"GO:BP","peptidyl-threonine phosphorylation","GO:0018107","0.12409357590804285","0.9062507005311023","19","3","1","11706","FBGN0020386"
"GO:BP","defense response to Gram-positive bacterium","GO:0050830","0.1305745547537867","0.8841414463893276","47","2","1","11706","FBGN0012042"
"GO:BP","multicellular organism growth","GO:0035264","0.1305745547537867","0.8841414463893276","51","3","1","11706","FBGN0020386"
"GO:BP","regulation of multicellular organism growth","GO:0040014","0.1305745547537867","0.8841414463893276","45","3","1","11706","FBGN0020386"
"GO:BP","positive regulation of multicellular organism growth","GO:0040018","0.1305745547537867","0.8841414463893276","26","3","1","11706","FBGN0020386"
