"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","G protein-coupled photoreceptor activity","GO:0008020","0.00004049821962310012","4.3925640687571565","8","22","3","11759","FBGN0019940,FBGN0014019,FBGN0003249"
"GO:MF","photoreceptor activity","GO:0009881","0.000079165101913645","4.10146622480491","12","22","3","11759","FBGN0019940,FBGN0014019,FBGN0003249"
"GO:MF","G protein-coupled receptor activity","GO:0004930","0.0027926744707593154","2.5539796850624596","120","22","4","11759","FBGN0019940,FBGN0030466,FBGN0014019,FBGN0003249"
"GO:MF","peptidyl-dipeptidase activity","GO:0008241","0.016327919040733718","1.787069161663481","6","1","1","11759","FBGN0035076"
"GO:MF","metallopeptidase activity","GO:0008237","0.03143799190350095","1.5025452022344383","176","4","2","11759","FBGN0035076,FBGN0039478"
"GO:MF","glucosamine 6-phosphate N-acetyltransferase activity","GO:0004343","0.033383933990182565","1.4764624870229173","1","25","1","11759","FBGN0039690"
"GO:MF","N,N-dimethylaniline monooxygenase activity","GO:0004499","0.033383933990182565","1.4764624870229173","2","11","1","11759","FBGN0034943"
"GO:MF","exopeptidase activity","GO:0008238","0.033383933990182565","1.4764624870229173","114","8","2","11759","FBGN0035076,FBGN0038738"
"GO:MF","insulin-like growth factor binding","GO:0005520","0.033383933990182565","1.4764624870229173","4","9","1","11759","FBGN0037015"
"GO:MF","serine-type carboxypeptidase activity","GO:0004185","0.033453308010230935","1.4755609308242337","5","8","1","11759","FBGN0038738"
"GO:MF","serine-type exopeptidase activity","GO:0070008","0.03478108573845115","1.4586568650343321","6","8","1","11759","FBGN0038738"
"GO:MF","light-activated ion channel activity","GO:0010461","0.03478108573845115","1.4586568650343321","2","23","1","11759","FBGN0005614"
"GO:MF","gluconolactonase activity","GO:0004341","0.03669719940042526","1.435367078291546","2","27","1","11759","FBGN0030362"
"GO:MF","G-protein gamma-subunit binding","GO:0031682","0.04027098528026125","1.3950077447023284","3","21","1","11759","FBGN0004623"
"GO:MF","BMP binding","GO:0036122","0.04341906040650162","1.3623195789628235","10","9","1","11759","FBGN0037015"
"GO:MF","growth factor binding","GO:0019838","0.04341906040650162","1.3623195789628235","8","9","1","11759","FBGN0037015"
"GO:MF","GTPase activating protein binding","GO:0032794","0.04341906040650162","1.3623195789628235","7","13","1","11759","FBGN0010341"
"GO:MF","inositol 1,4,5 trisphosphate binding","GO:0070679","0.04341906040650162","1.3623195789628235","4","23","1","11759","FBGN0005614"
"GO:MF","G protein activity","GO:0003925","0.04341906040650162","1.3623195789628235","7","13","1","11759","FBGN0010341"
"GO:MF","cytokine binding","GO:0019955","0.04880081676065432","1.3115729093153872","12","9","1","11759","FBGN0037015"
"GO:MF","store-operated calcium channel activity","GO:0015279","0.04988524230999019","1.302027913921033","5","23","1","11759","FBGN0005614"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0016709","0.049996390168994195","1.301061351389612","11","11","1","11759","FBGN0034943"
"GO:BP","detection of visible light","GO:0009584","1.2744037783811364e-7","6.894692949598917","43","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","detection of light stimulus","GO:0009583","4.851675708681283e-7","6.314108235554233","67","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","phototransduction","GO:0007602","4.851675708681283e-7","6.314108235554233","62","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","visual perception","GO:0007601","4.851675708681283e-7","6.314108235554233","66","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","sensory perception of light stimulus","GO:0050953","4.851675708681283e-7","6.314108235554233","69","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","detection of external stimulus","GO:0009581","0.0000013305610967477826","5.875965178706564","86","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","detection of abiotic stimulus","GO:0009582","0.0000013305610967477826","5.875965178706564","86","23","6","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249,FBGN0005614"
"GO:BP","cellular response to light stimulus","GO:0071482","0.00000279295173975619","5.553936568537685","50","22","5","11706","FBGN0019940,FBGN0004435,FBGN0014019,FBGN0004623,FBGN0003249"
