"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","high voltage-gated calcium channel activity","GO:0008331","0.024574577619724803","1.6095139379515422","2","2","1","11759","FBGN0263111"
"GO:MF","low voltage-gated calcium channel activity","GO:0008332","0.024574577619724803","1.6095139379515422","2","2","1","11759","FBGN0263111"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","0.024574577619724803","1.6095139379515422","92","43","4","11759","FBGN0036659,FBGN0041630,FBGN0034580,FBGN0040323"
"GO:MF","heme binding","GO:0020037","0.028945281212998785","1.5384222267618746","139","49","4","11759","FBGN0005670,FBGN0038037,FBGN0015038,FBGN0261987"
"GO:MF","serine-type peptidase activity","GO:0008236","0.028945281212998785","1.5384222267618746","303","36","5","11759","FBGN0036612,FBGN0010357,FBGN0038479,FBGN0028866,FBGN0000533"
"GO:MF","O-acyltransferase activity","GO:0008374","0.028945281212998785","1.5384222267618746","28","26","2","11759","FBGN0035383,FBGN0051683"
"GO:MF","dinucleotide repeat insertion binding","GO:0032181","0.028945281212998785","1.5384222267618746","1","29","1","11759","FBGN0015546"
"GO:MF","single guanine insertion binding","GO:0032142","0.028945281212998785","1.5384222267618746","1","29","1","11759","FBGN0015546"
"GO:MF","serine-type endopeptidase activity","GO:0004252","0.028945281212998785","1.5384222267618746","281","36","5","11759","FBGN0036612,FBGN0010357,FBGN0038479,FBGN0028866,FBGN0000533"
"GO:MF","tetrapyrrole binding","GO:0046906","0.028945281212998785","1.5384222267618746","140","49","4","11759","FBGN0005670,FBGN0038037,FBGN0015038,FBGN0261987"
"GO:MF","carnitine O-palmitoyltransferase activity","GO:0004095","0.028945281212998785","1.5384222267618746","2","5","1","11759","FBGN0035383"
"GO:MF","dinucleotide insertion or deletion binding","GO:0032139","0.028945281212998785","1.5384222267618746","1","29","1","11759","FBGN0015546"
"GO:MF","guanine/thymine mispair binding","GO:0032137","0.028945281212998785","1.5384222267618746","1","29","1","11759","FBGN0015546"
"GO:MF","carnitine O-acyltransferase activity","GO:0016406","0.028945281212998785","1.5384222267618746","6","5","1","11759","FBGN0035383"
"GO:MF","O-palmitoyltransferase activity","GO:0016416","0.028945281212998785","1.5384222267618746","2","5","1","11759","FBGN0035383"
"GO:MF","U1 snRNA binding","GO:0030619","0.028945281212998785","1.5384222267618746","7","3","1","11759","FBGN0003435"
"GO:MF","double-strand/single-strand DNA junction binding","GO:0000406","0.028945281212998785","1.5384222267618746","1","29","1","11759","FBGN0015546"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","0.028945281212998785","1.5384222267618746","111","43","4","11759","FBGN0036659,FBGN0041630,FBGN0034580,FBGN0040323"
"GO:MF","serine hydrolase activity","GO:0017171","0.028945281212998785","1.5384222267618746","303","36","5","11759","FBGN0036612,FBGN0010357,FBGN0038479,FBGN0028866,FBGN0000533"
"GO:MF","voltage-gated calcium channel activity","GO:0005245","0.028945281212998785","1.5384222267618746","9","2","1","11759","FBGN0263111"
"GO:MF","glucuronosyltransferase activity","GO:0015020","0.02930453811997752","1.5330651193096907","46","21","2","11759","FBGN0050438,FBGN0040259"
"GO:MF","beta-glucosidase activity","GO:0008422","0.02930453811997752","1.5330651193096907","2","17","1","11759","FBGN0036659"
"GO:MF","DNA insertion or deletion binding","GO:0032135","0.03652263991342747","1.4374378385200537","2","29","1","11759","FBGN0015546"
"GO:MF","single thymine insertion binding","GO:0032143","0.03652263991342747","1.4374378385200537","2","29","1","11759","FBGN0015546"
"GO:MF","voltage-gated cation channel activity","GO:0022843","0.03652263991342747","1.4374378385200537","30","2","1","11759","FBGN0263111"
"GO:MF","snRNA binding","GO:0017069","0.03652263991342747","1.4374378385200537","18","3","1","11759","FBGN0003435"
"GO:MF","mismatch repair complex binding","GO:0032404","0.03652263991342747","1.4374378385200537","2","29","1","11759","FBGN0015546"
"GO:MF","single base insertion or deletion binding","GO:0032138","0.03652263991342747","1.4374378385200537","2","29","1","11759","FBGN0015546"
"GO:MF","MutLalpha complex binding","GO:0032405","0.03652263991342747","1.4374378385200537","2","29","1","11759","FBGN0015546"
"GO:MF","prostaglandin-endoperoxide synthase activity","GO:0004666","0.03652263991342747","1.4374378385200537","1","49","1","11759","FBGN0261987"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705","0.039720138201225316","1.4009892491009985","173","49","4","11759","FBGN0005670,FBGN0038037,FBGN0015038,FBGN0261987"
"GO:MF","beta-N-acetylglucosaminidase activity","GO:0016231","0.042432022803727265","1.372306264213662","4","24","1","11759","FBGN0041630"
