enrichment_id,name,log2fc
fbgn0034837,rpl22-like,3.2
fbgn0263589,asrna:cr43614,3.04
fbgn0031879,uif,2.43
fbgn0026175,skpc,1.72
fbgn0050401,dany,1.67
fbgn0028396,tota,1.56
fbgn0265457,lncrna:cr44357,1.55
fbgn0030999,mur18b,1.55
fbgn0032084,cg13101,1.54
fbgn0262104,cg42857,1.5
fbgn0040370,cg13375,1.49
fbgn0031523,cg15408,1.48
fbgn0046776,cr14033,1.31
fbgn0038658,cg14292,1.3
fbgn0039452,cg14245,1.3
fbgn0035673,cg6602,1.26
fbgn0038718,cg17752,1.23
fbgn0052364,tut,1.13
fbgn0032116,mco1,1.13
fbgn0028886,cg15279,1.06
fbgn0250757,cg42235,1.05
fbgn0031337,cg14346,1.04
fbgn0033093,cg3270,1
fbgn0085428,nox,0.87
fbgn0260005,wtrw,0.87
fbgn0267728,otk2,0.85
fbgn0262895,lncrna:cr43250,0.85
fbgn0039350,jigr1,0.77
fbgn0036690,ilp8,0.67
fbgn0039993,cg17691,0.58
fbgn0032783,cg10237,0.58
fbgn0027070,ugt36e1,0.55
fbgn0036881,cpr76bd,-2.24
fbgn0265267,cg18258,-2.18
fbgn0016920,nompc,-1.77
fbgn0033304,cyp6a13,-1.37
fbgn0051619,nolo,-1.33
fbgn0265312,lncrna:cr44285,-1.31
fbgn0058298,cg40298,-1.25
fbgn0033458,lime,-1.16
fbgn0039343,cg5111,-1.07
fbgn0085474,cg34445,-1.05
fbgn0033268,obp44a,-1.05
fbgn0010424,tpnc73f,-1.02
fbgn0020908,scp1,-1
fbgn0002773,mlc2,-0.97
fbgn0039827,cg1544,-0.93
fbgn0037447,neurochondrin,-0.91
fbgn0265203,lncrna:cr44263,-0.84
fbgn0034804,cg3831,-0.53
