enrichment_id,name,log2fc
fbgn0011832,ser12,1.726044192
fbgn0051681,cg31681,1.591334187
fbgn0262572,cg43112,1.259798553
fbgn0085475,cg34446,1.161883273
fbgn0264827,asrna:cr44035,1.102110303
fbgn0040377,vha36-3,1.098246441
fbgn0261362,none,1.08890695
fbgn0262484,cg43074,1.07136644
fbgn0033367,ppo2,1.012414783
fbgn0261269,conv,1.002779098
fbgn0260764,cg42562,0.994570555
fbgn0020908,scp1,0.991615294
fbgn0035798,frac,0.988180664
fbgn0050419,cg30419,0.977445478
fbgn0033949,had2,0.976586334
fbgn0036656,cg13026,0.975157116
fbgn0260653,serp,0.952732577
fbgn0032286,cg7300,0.949174221
fbgn0039485,cg17189,0.941205091
fbgn0040074,retinin,0.940052246
fbgn0031110,obp19b,0.937566539
fbgn0052834,cg32834,0.936394239
fbgn0010381,none,0.935851772
fbgn0035280,cpr62bb,0.927662673
fbgn0039052,cg6733,0.925476987
fbgn0033807,aqp,0.922853915
fbgn0011828,pxn,0.918574771
fbgn0032494,cg5945,0.91425611
fbgn0034807,cg9897,0.906380691
fbgn0265457,lncrna:cr44357,0.906195564
fbgn0031406,send1,0.90351851
fbgn0040609,cg3348,0.901644068
fbgn0032283,cg7296,0.90111482
fbgn0031522,cg3285,0.898246093
fbgn0039789,cg9717,0.896500126
fbgn0034860,cg9812,0.895346697
fbgn0031089,cg9572,0.888235727
fbgn0039897,cg1674,0.885912622
fbgn0052277,cg32277,0.882135571
fbgn0037762,elof,0.879965172
fbgn0051207,cg31207,0.879336368
fbgn0040102,lectin-24db,0.878159695
fbgn0032899,cg9338,0.877333292
fbgn0038449,cg17562,0.876903242
fbgn0031737,obst-e,0.8714018
fbgn0053178,cg33178,0.863299726
fbgn0051259,cg31259,0.858108991
fbgn0036361,cg10154,0.856829692
fbgn0013812,dhc93ab,0.855978984
fbgn0025712,cg13920,0.85340878
fbgn0041711,yellow-e,0.852107688
fbgn0036091,cg18628,0.851231555
fbgn0054034,cg34034,0.85079102
fbgn0261848,cg42780,0.844896659
fbgn0029580,cg14778,0.843513112
fbgn0030634,cg9164,0.842653489
fbgn0034515,cg13428,0.840370078
fbgn0033136,tsp42eo,0.839024997
fbgn0016032,lbm,0.838048429
fbgn0266382,asrna:cr45024,0.835736031
fbgn0032669,cg15155,0.831707282
fbgn0267758,asrna:cr46089,0.830317064
fbgn0038385,fbxl7,0.829519027
fbgn0035817,cg7409,0.828555083
fbgn0031634,ir25a,0.826946413
fbgn0259707,cg42361,0.826434541
fbgn0051781,lncrna:cr31781,0.826310923
fbgn0035103,vdup1,0.825516447
fbgn0036479,cg13458,0.824246002
fbgn0036836,cg11619,0.823668841
fbgn0030539,cg1368,0.823022948
fbgn0033702,cg8854,0.821365864
fbgn0046875,obp83g,0.820474939
fbgn0264791,asrna:cr44021,0.820374017
fbgn0261534,l(2)34fc,0.817676348
fbgn0039297,cg11852,0.816863534
fbgn0265045,strn-mlck,0.811465976
fbgn0033135,tsp42en,0.807611967
fbgn0001216,hsc70-1,0.805793605
fbgn0051646,dip-theta,0.804835059
fbgn0030369,cyp318a1,0.801270945
fbgn0261341,verm,0.799688553
fbgn0051267,cg31267,0.799261399
fbgn0037764,cg9459,0.795614865
fbgn0031940,cg7214,0.795143774
fbgn0051676,cg31676,0.791904386
fbgn0035985,cpr67b,0.789300173
fbgn0031692,tpnc25d,0.789017595
fbgn0036094,cg14153,0.78634146
fbgn0038404,cg8925,0.785459643
fbgn0037292,plh,0.783457922
fbgn0037140,slc22a,0.782232851
fbgn0267481,asrna:cr45831,0.780161773
fbgn0041713,yellow-c,0.77686663
fbgn0261649,tinc,0.773870273
fbgn0029147,ntr,0.772439545
fbgn0005666,bt,0.772066798
fbgn0037997,cg14742,0.770912655
fbgn0262139,trh,0.770085101
fbgn0085426,rgk3,0.767385302
