enrichment_id,name,log2fc
fbgn0036670,cg13029,4.31
fbgn0031277,cg13947,3.4
fbgn0263093,cr43361,3.38
fbgn0002563,lsp1beta,3.3
fbgn0039881,cg1971,3.28
fbgn0035482,cg14985,2.95
fbgn0010549,l(2)03659,2.42
fbgn0284435,tyn,2.39
fbgn0262108,lncrna:cr42861,2.32
fbgn0036362,cg10725,2.31
fbgn0004428,lyse,2.27
fbgn0262509,nrm,2.18
fbgn0030051,spirit,2.01
fbgn0033395,cyp4p2,2.01
fbgn0262123,l(2)41ab,1.98
fbgn0034716,oatp58dc,1.89
fbgn0010040,gstd4,1.84
fbgn0037742,rpt3r,1.84
fbgn0030073,cg10962,1.83
fbgn0030716,cg9170,1.78
fbgn0015558,tty,1.75
fbgn0267967,corolla,1.74
fbgn0033698,cg8858,1.71
fbgn0263762,cg43679,1.7
fbgn0051997,cg31997,1.69
fbgn0003356,jon99cii,1.65
fbgn0030666,cg12708,1.64
fbgn0034356,pepck2,1.61
fbgn0003866,tsh,1.59
fbgn0015037,cyp4p1,1.58
fbgn0039637,ctl2,1.56
fbgn0030594,fiz,1.55
fbgn0031961,cg7102,1.36
fbgn0035360,cg1246,1.35
fbgn0261556,cg42674,1.33
fbgn0031157,cg1503,1.33
fbgn0264385,lncrna:cr43837,1.3
fbgn0030077,cg15365,1.3
fbgn0050438,ugt50b3,1.27
fbgn0042178,apl,1.27
fbgn0025693,znt41f,1.26
fbgn0001612,grip91,1.26
fbgn0036620,cg4842,1.26
fbgn0040350,cg3690,1.24
fbgn0001087,g,1.2
fbgn0085224,cg34195,1.18
fbgn0002878,mus101,1.18
fbgn0265726,nna1,1.17
fbgn0039938,sox102f,1.15
fbgn0037521,cg2993,1.14
fbgn0033257,sand,1.12
fbgn0030514,cg9941,1.11
fbgn0032382,mal-b2,1.1
fbgn0015336,cg15865,1.1
fbgn0030653,cg7860,1.09
fbgn0039932,fuss,1.07
fbgn0033302,cyp6a14,1.06
fbgn0029766,cg15784,1.01
fbgn0051999,cg31999,1.01
fbgn0033047,cg7882,1
fbgn0086898,dgo,1
fbgn0030311,cg11699,0.99
fbgn0051619,nolo,0.98
fbgn0031632,cg15628,0.95
fbgn0038652,cg7720,0.95
fbgn0083940,rhou,0.95
fbgn0039667,fipoq,0.95
fbgn0038658,cg14292,0.94
fbgn0026084,cib,0.94
fbgn0037265,spartin,0.94
fbgn0039789,cg9717,0.93
fbgn0030518,cg11134,0.92
fbgn0038912,cg6656,0.92
fbgn0030999,mur18b,0.89
fbgn0030519,cg11151,0.89
fbgn0261988,gprk2,0.86
fbgn0034270,pig-a,0.85
fbgn0036640,nxf2,0.83
fbgn0035076,ance-5,0.82
fbgn0030660,cg8097,0.77
fbgn0063492,gste8,0.77
fbgn0051217,modsp,0.75
fbgn0037186,cg11241,0.74
fbgn0051262,cg31262,0.72
fbgn0027513,ana2,0.7
fbgn0038704,cg5316,0.68
fbgn0050382,cg30382,0.68
fbgn0037960,mthl5,0.64
fbgn0261984,ire1,0.64
fbgn0036332,cul6,0.63
fbgn0250785,vari,0.62
fbgn0051075,cg31075,0.61
fbgn0037807,cg6293,0.61
fbgn0259247,none,0.6
