enrichment_id,name,log2fc
fbgn0039777,jon99fii,10.62313925
fbgn0053874,his2b:cg33874,10.49796745
fbgn0053890,his2b:cg33890,10.34693734
fbgn0030098,cg12057,9.903409942
fbgn0043471,kappatry,9.835635725
fbgn0038481,cg17475,9.835635725
fbgn0002571,mal-a3,9.774656098
fbgn0034295,cg10911,9.724701235
fbgn0035926,cg5804,9.67174964
fbgn0003356,jon99cii,9.273606981
fbgn0052633,cg32633,8.731944422
fbgn0040060,yip7,8.586093556
none,spheroide,8.47858793
fbgn0011554,etatry,8.4744482
fbgn0051343,cg31343,8.460097513
fbgn0031929,cg18585,8.425967399
fbgn0035665,jon65aiii,8.108320301
fbgn0030775,cg9673,8.090398393
fbgn0039778,jon99fi,7.994285058
fbgn0036766,cg5506,7.979871935
fbgn0051274,cg31274,7.964959316
fbgn0028949,cg15254,7.950367941
fbgn0003357,jon99ciii,7.923774286
fbgn0020508,ag5r2,7.914147753
fbgn0053127,cg33127,7.901869423
fbgn0051265,cg31265,7.547204542
fbgn0011556,zetatry,7.485461192
fbgn0003863,alphatry,7.474614017
fbgn0052379,cg32379,7.406544135
fbgn0033294,mal-a4,7.133742898
fbgn0030776,cg4653,7.102967066
fbgn0028948,cg15253,7.097593894
fbgn0028945,cg7631,7.031504704
fbgn0034553,cg9993,7.020189391
fbgn0051463,cg31463,6.786392206
fbgn0035670,cg10472,6.776880847
fbgn0038082,cg5724,6.731944422
fbgn0039475,cg6277,6.731944422
fbgn0036367,cg10116,6.631417546
fbgn0053966,cg33966,6.5233578
fbgn0034317,cg14499,6.326125453
fbgn0250815,jon65aiv,6.310728348
fbgn0259748,cg42397,6.24095807
fbgn0035779,cg8562,6.24095807
fbgn0032144,cg17633,6.24095807
fbgn0000047,act88f,6.234444763
fbgn0032336,astc,6.221329263
fbgn0028920,cg8997,6.103610504
fbgn0034296,cg10912,6.102967066
fbgn0016053,pgc,6.075898823
fbgn0034552,cg17999,6.031504704
fbgn0034293,cg14495,6.008784627
fbgn0050043,cg30043,5.985701014
fbgn0028533,cg7953,5.959611785
fbgn0032068,lmanv,5.942186879
fbgn0028532,cg7968,5.933578283
fbgn0030509,cg11162,5.889485699
fbgn0051410,npc2e,5.889485699
fbgn0038292,cg3987,5.884502292
fbgn0036996,mag,5.843146984
