enrichment_id,name,log2fc
fbgn0034407,dptb,2.65
fbgn0041579,attc,2.08
fbgn0052185,edin,1.98
fbgn0038530,attd,1.83
fbgn0212326,none,1.65
fbgn0005633,fln,1.53
fbgn0261565,lmpt,1.5
fbgn0033027,tpnc4,1.45
fbgn0264489,cg43897,1.44
fbgn0028866,cg18420,1.44
fbgn0036044,zasp67,1.42
fbgn0265045,strn-mlck,1.41
fbgn0212323,none,1.41
fbgn0005666,bt,1.41
fbgn0004169,up,1.41
fbgn0053519,unc-89,1.4
fbgn0039299,cg11854,1.39
fbgn0259697,none,1.37
fbgn0265991,zasp52,1.37
fbgn0035798,frac,1.36
fbgn0035293,cg5687,1.35
fbgn0023550,faro,1.32
fbgn0010226,gsts1,1.31
fbgn0034497,mpcp1,1.31
fbgn0032143,cg4017,1.31
fbgn0034647,pirk,1.28
fbgn0033679,cg8888,1.26
fbgn0031869,cg18304,1.25
fbgn0000557,eef1alpha2,1.23
fbgn0010482,l(2)01289,1.21
fbgn0051140,cg31140,1.21
fbgn0279040,none,1.2
fbgn0052333,cg32333,1.2
fbgn0003961,uro,1.2
fbgn0031857,lubel,1.19
fbgn0264695,mhc,1.18
fbgn0032536,ance-3,1.18
fbgn0034151,cg15617,1.18
fbgn0028704,nckx30c,1.16
fbgn0259680,pkcdelta,1.16
fbgn0035490,cg1136,1.15
fbgn0030562,cg9400,1.15
fbgn0030929,cg15043,1.15
fbgn0011286,ryr,1.14
fbgn0022160,gpo1,1.14
fbgn0035929,cg13311,1.13
fbgn0026255,clumsy,1.13
fbgn0034860,cg9812,1.12
fbgn0039897,cg1674,1.12
fbgn0052521,cg32521,1.11
fbgn0085491,cg34462,1.11
fbgn0219132,none,1.11
fbgn0032601,yellow-b,1.11
fbgn0284247,ds,1.11
fbgn0001216,hsc70-1,1.1
fbgn0038653,octalpha2r,1.1
fbgn0259246,brp,1.09
fbgn0051374,sals,1.09
fbgn0003386,shaw,1.09
fbgn0000246,c(3)g,1.07
fbgn0259209,mlp60a,1.07
fbgn0034612,cg10505,1.07
fbgn0040505,alk,1.07
fbgn0267339,p38c,1.07
fbgn0020294,ko,1.06
fbgn0261836,msp300,1.06
