enrichment_id,name,log2fc
fbgn0219132,none,1.62
fbgn0034407,dptb,1.12
fbgn0028331,l(1)g0289,0.93
fbgn0028866,cg18420,0.89
fbgn0037162,cg11449,0.88
fbgn0032495,cg16820,0.86
fbgn0037164,cg11438,0.8
fbgn0004919,gol,0.79
fbgn0038530,attd,0.7
fbgn0259210,prom,0.69
fbgn0032116,mco1,0.66
fbgn0031414,eys,0.62
fbgn0267435,chp,0.61
fbgn0037896,ninag,0.61
fbgn0262738,norpa,0.59
fbgn0024943,pip82,0.56
fbgn0000206,boss,0.54
fbgn0264087,slob,0.51
fbgn0279901,none,0.5
fbgn0030555,fbxl4,0.5
fbgn0002938,ninac,0.48
fbgn0218178,none,0.44
fbgn0030073,cg10962,-1.54
fbgn0029831,cg5966,-1.33
fbgn0031974,cg12560,-1.12
fbgn0014903,cg14630,-1.09
fbgn0032638,sph93,-1.09
fbgn0032213,cg5390,-1.08
fbgn0032387,cg16965,-1.08
fbgn0010222,nmdmc,-1.05
fbgn0003067,pepck1,-1.05
fbgn0033079,fmo-2,-1.03
fbgn0020385,pug,-1.02
fbgn0029823,shmt,-1.01
fbgn0011705,rost,-1
fbgn0001089,gal,-0.99
fbgn0052687,cg32687,-0.99
fbgn0259998,cg17571,-0.97
fbgn0040732,cg16926,-0.96
fbgn0041337,cyp309a2,-0.96
fbgn0061356,cg18003,-0.94
fbgn0086691,uk114,-0.94
fbgn0033124,tsp42ec,-0.92
fbgn0037387,cg1213,-0.92
fbgn0000140,asp,-0.91
fbgn0040256,ugt35c1,-0.89
fbgn0036727,seccl,-0.89
fbgn0221155,none,-0.88
fbgn0284252,letm1,-0.88
fbgn0040252,ugt303a1,-0.87
fbgn0050280,cg30280,-0.87
fbgn0033271,cg8708,-0.87
fbgn0034511,gnbp-like3,-0.87
fbgn0216594,none,-0.86
fbgn0259101,cg42249,-0.86
fbgn0027106,inx7,-0.85
fbgn0034276,sardh,-0.85
fbgn0014031,spat,-0.84
fbgn0027793,cg14787,-0.84
fbgn0027611,lmanii,-0.83
fbgn0031182,cyp6t1,-0.83
fbgn0000406,cyt-b5-r,-0.83
fbgn0033397,cyp4p3,-0.82
fbgn0012036,aldh,-0.81
fbgn0038194,cyp6d5,-0.81
fbgn0050281,cg30281,-0.81
fbgn0020513,paics,-0.81
fbgn0000639,fbp1,-0.81
fbgn0034999,fatp3,-0.8
fbgn0034479,cg8654,-0.8
fbgn0029932,cg4607,-0.8
fbgn0039827,cg1544,-0.79
fbgn0039154,npc2f,-0.79
fbgn0026593,cg5707,-0.77
fbgn0034717,cg5819,-0.77
fbgn0036750,cg6034,-0.76
fbgn0035348,cg16758,-0.75
fbgn0001187,hex-c,-0.75
fbgn0220668,none,-0.75
fbgn0050489,cyp12d1-p,-0.74
fbgn0033246,acc,-0.74
fbgn0027945,ppl,-0.74
fbgn0034468,obp56a,-0.73
fbgn0037684,srr,-0.73
fbgn0035076,ance-5,-0.73
fbgn0027552,cg10863,-0.72
fbgn0030425,nep6,-0.72
fbgn0033820,cg4716,-0.72
fbgn0032715,cg17597,-0.72
fbgn0266369,mtp,-0.72
fbgn0040232,cmet,-0.72
fbgn0025454,cyp6g1,-0.72
fbgn0038897,cg5849,-0.71
fbgn0003358,jon99ci,-0.7
fbgn0034247,cg6484,-0.7
fbgn0011695,ebpiii,-0.7
fbgn0000592,est-6,-0.7
fbgn0053910,his2b:cg33910,-0.7
fbgn0027657,glob1,-0.7
fbgn0000052,pfas,-0.69
fbgn0021765,scu,-0.69
fbgn0035734,cg14823,-0.68
fbgn0035082,cg2811,-0.68
fbgn0263200,galt,-0.68
fbgn0033879,echs1,-0.67
fbgn0039316,cg11893,-0.67
fbgn0038115,cg7966,-0.67
fbgn0034364,cg5493,-0.67
fbgn0035266,gk2,-0.66
fbgn0031970,cg7227,-0.66
fbgn0039241,cg11089,-0.65
fbgn0225588,none,-0.65
fbgn0036824,cg3902,-0.65
fbgn0039609,nepl17,-0.65
fbgn0041194,prat2,-0.64
fbgn0038516,p5cr-2,-0.63
fbgn0012034,accoas,-0.63
fbgn0039359,rpl27,-0.63
fbgn0002579,rpl36,-0.62
fbgn0280195,none,-0.61
fbgn0011693,pdh,-0.61
fbgn0086254,akr1b,-0.61
fbgn0036825,rpl26,-0.61
fbgn0085453,mthfs,-0.61
fbgn0023507,d2hgdh,-0.6
fbgn0038105,yellow-f2,-0.6
fbgn0014455,ahcy,-0.6
fbgn0037146,cg7470,-0.6
fbgn0015663,ugt36a1,-0.59
fbgn0039300,rps27,-0.59
fbgn0023129,aay,-0.58
fbgn0001114,glt,-0.58
fbgn0040064,yip2,-0.58
fbgn0038681,cyp12a4,-0.58
fbgn0027579,mino,-0.58
