enrichment_id,name,log2fc
fbgn0264489,cg43897,1.66
fbgn0034151,cg15617,1.51
fbgn0265045,strn-mlck,1.12
fbgn0265991,zasp52,1.42
fbgn0005633,fln,1.41
fbgn0015035,cyp4e3,1.4
fbgn0004427,lysd,1.17
fbgn0034497,mpcp1,1.35
fbgn0085487,cg34458,1.32
fbgn0261565,lmpt,1.29
fbgn0213602,none,1.29
fbgn0004169,up,1.23
fbgn0005666,bt,1.27
fbgn0000557,eef1alpha2,1.27
fbgn0283471,wupa,1.14
fbgn0264695,mhc,1.2
fbgn0053519,unc-89,1.17
fbgn0031632,cg15628,1.17
fbgn0002772,mlc1,1.08
fbgn0033027,tpnc4,1.14
fbgn0003149,prm,0.87
fbgn0004242,syt1,1.08
fbgn0026255,clumsy,1.09
fbgn0031264,cg11835,1.09
fbgn0051410,npc2e,1.08
fbgn0216177,none,1.08
fbgn0031302,cg14340,1.07
fbgn0032505,cg16826,1.05
fbgn0031869,cg18304,1.05
fbgn0022160,gpo1,1.05
fbgn0000667,actn,0.99
fbgn0002773,mlc2,1.02
fbgn0225785,none,1.01
fbgn0038840,grik,1.01
fbgn0036783,chea75a,1.01
fbgn0015010,ag5r,1
fbgn0037562,nazo,0.98
fbgn0023540,cg3630,0.97
fbgn0039897,cg1674,0.96
fbgn0034182,smyda-7,0.96
fbgn0031857,lubel,0.9
fbgn0036044,zasp67,0.94
fbgn0039008,cg6972,0.93
fbgn0261999,ca-ma2d,0.92
fbgn0085232,cg34203,0.91
fbgn0025712,cg13920,0.89
fbgn0032129,jp,0.89
fbgn0001216,hsc70-1,0.86
fbgn0027291,idh3a,0.77
fbgn0259209,mlp60a,0.85
fbgn0052333,cg32333,0.85
fbgn0039358,cg5028,0.84
fbgn0032253,lmani,0.82
fbgn0036597,cg4962,0.82
fbgn0262508,cg43078,0.76
fbgn0267486,ptp36e,0.81
fbgn0265998,doa,0.8
fbgn0026059,mhcl,0.8
fbgn0030745,cg4239,0.78
fbgn0038820,cg4000,0.77
fbgn0051973,cda5,0.77
fbgn0262599,smyda-3,0.77
fbgn0263006,serca,0.73
fbgn0261836,msp300,0.77
fbgn0010482,l(2)01289,0.72
fbgn0026077,gasp,0.66
fbgn0265356,tn,0.71
fbgn0010425,epsilontry,0.71
fbgn0250819,cg33521,0.67
fbgn0004117,tm2,0.64
fbgn0265191,gyg,0.65
fbgn0261053,cad86c,0.66
fbgn0000064,ald1,0.66
fbgn0270926,asns,0.66
fbgn0003415,skd,0.65
fbgn0034723,cg13506,0.63
fbgn0283499,inr,0.61
fbgn0034391,cg15080,0.59
fbgn0032779,alp12,0.59
fbgn0261955,kdn,0.57
fbgn0259736,cg42390,0.56
fbgn0003360,sesb,0.56
fbgn0261258,rgn,0.55
fbgn0027585,cg8740,0.55
fbgn0053208,mical,0.49
fbgn0013733,shot,0.49
fbgn0261439,sdha,0.47
fbgn0035600,cyt-c1,0.47
fbgn0010352,nc73ef,0.45
fbgn0033661,cg13185,0.45
fbgn0261574,kug,0.44
fbgn0038702,cg3739,-2
fbgn0030097,cg12115,-1.65
fbgn0029765,cg16756,-1.62
fbgn0022359,sodh-2,-1.57
fbgn0000640,fbp2,-1.48
fbgn0279124,none,-1.47
fbgn0053301,cg33301,-1.42
fbgn0030029,cg15343,-1.39
fbgn0085487,cg34458,-1.33
fbgn0213515,none,-1.32
fbgn0000639,fbp1,-1.29
fbgn0224870,none,-1.24
fbgn0033294,mal-a4,-1.19
fbgn0051091,cg31091,-1.16
fbgn0015001,iotatry,-1.14
fbgn0031940,cg7214,-1.12
fbgn0034712,alp8,-1.11
fbgn0002563,lsp1beta,-1.07
fbgn0261575,tobi,-1.06
fbgn0001225,hsp26,-1.06
fbgn0035409,cg14963,-1.05
fbgn0000056,adhr,-1.05
fbgn0030367,cyp311a1,-1.05
fbgn0031533,cg2772,-1.04
fbgn0085285,cg34256,-1.03
fbgn0265137,spn42da,-1.02
fbgn0039685,obp99b,-1.02
fbgn0037650,cg11977,-1.01
fbgn0263106,dnaj-1,-1
fbgn0051463,cg31463,-1
fbgn0053306,cg33306,-1
fbgn0051636,cg31636,-0.99
fbgn0020506,amyrel,-0.99
fbgn0001226,hsp27,-0.98
fbgn0022700,cht4,-0.98
fbgn0034247,cg6484,-0.98
fbgn0036495,cg33259,-0.97
fbgn0031930,cg7025,-0.96
fbgn0032055,sgp,-0.96
fbgn0033367,ppo2,-0.96
fbgn0032149,cg4036,-0.94
fbgn0033423,alp6,-0.94
fbgn0039769,cg15534,-0.94
fbgn0017448,cg2187,-0.93
fbgn0030539,cg1368,-0.93
fbgn0053138,agbe,-0.93
fbgn0003295,ru,-0.92
fbgn0037038,cg11037,-0.91
fbgn0040629,cah5,-0.91
fbgn0053530,acp53c14c,-0.91
fbgn0037975,cg3397,-0.91
fbgn0031804,cg9500,-0.9
fbgn0083965,cg34129,-0.9
fbgn0038865,cdip,-0.88
fbgn0039154,npc2f,-0.88
fbgn0032213,cg5390,-0.87
fbgn0259974,sfp84e,-0.86
fbgn0034470,obp56d,-0.86
fbgn0052573,cg32573,-0.85
fbgn0034117,cg7997,-0.85
fbgn0036929,cg7668,-0.84
fbgn0010052,jhe,-0.82
fbgn0278721,none,-0.81
fbgn0086691,uk114,-0.81
fbgn0214058,none,-0.81
fbgn0033397,cyp4p3,-0.8
fbgn0086708,stv,-0.8
fbgn0283437,ppo1,-0.8
fbgn0030425,nep6,-0.8
fbgn0034943,fmo-1,-0.8
fbgn0279337,none,-0.79
fbgn0038115,cg7966,-0.78
fbgn0063491,gste9,-0.78
fbgn0030880,cg6788,-0.78
fbgn0028517,cg18478,-0.77
fbgn0033170,spla2,-0.76
fbgn0039774,cdase,-0.76
fbgn0038257,smp-30,-0.76
fbgn0038337,cg6125,-0.75
fbgn0030737,none,-0.75
fbgn0053532,lectin-37da,-0.74
fbgn0042104,cg18747,-0.74
fbgn0034331,bombc2,-0.74
fbgn0030270,cg15199,-0.74
fbgn0031032,cg14204,-0.74
fbgn0013953,esp,-0.73
fbgn0015583,acp29ab,-0.73
fbgn0001208,hn,-0.73
fbgn0037386,cg1208,-0.73
fbgn0039298,to,-0.73
fbgn0051659,cg31659,-0.73
fbgn0214205,none,-0.72
fbgn0038700,cg3734,-0.71
fbgn0279710,none,-0.71
fbgn0030968,cg7322,-0.7
fbgn0035003,cg15873,-0.7
fbgn0012037,ance,-0.7
fbgn0051419,cg31419,-0.69
fbgn0030775,cg9673,-0.69
fbgn0011695,ebpiii,-0.69
fbgn0040308,jafrac2,-0.69
fbgn0038876,idi,-0.69
fbgn0023477,taldo,-0.69
fbgn0039598,aqrs,-0.69
fbgn0038701,cg18493,-0.68
fbgn0035880,culd,-0.68
fbgn0029838,cg4666,-0.68
fbgn0036996,mag,-0.67
fbgn0030098,cg12057,-0.67
fbgn0032615,cg6012,-0.67
fbgn0014469,cyp4e2,-0.67
fbgn0036750,cg6034,-0.67
fbgn0036942,cg7328,-0.66
fbgn0037553,cg18249,-0.66
fbgn0213647,none,-0.66
fbgn0029709,chop24,-0.66
fbgn0039325,cg10560,-0.66
fbgn0012034,accoas,-0.66
fbgn0030615,cyp4s3,-0.65
fbgn0039464,cg6330,-0.65
fbgn0280195,none,-0.65
fbgn0020765,acp65aa,-0.65
fbgn0039801,npc2h,-0.64
fbgn0032266,cg18302,-0.64
fbgn0051021,cg31021,-0.64
fbgn0226563,none,-0.64
fbgn0033728,cpr49ae,-0.64
fbgn0034291,cg5770,-0.64
fbgn0040398,cg14629,-0.64
fbgn0030837,cg8661,-0.64
fbgn0050151,cg30151,-0.64
fbgn0283427,fasn1,-0.64
fbgn0004057,zw,-0.63
fbgn0051323,cg31323,-0.63
fbgn0040732,cg16926,-0.63
fbgn0038878,cg3301,-0.63
fbgn0043043,desat2,-0.63
fbgn0035673,cg6602,-0.63
fbgn0038074,gnmt,-0.63
fbgn0262571,cg43111,-0.63
fbgn0034052,cg8299,-0.63
fbgn0259716,nepl6,-0.63
fbgn0000055,adh,-0.62
fbgn0033431,cg1827,-0.62
fbgn0278758,none,-0.62
fbgn0038105,yellow-f2,-0.62
fbgn0038719,cg16727,-0.61
fbgn0038194,cyp6d5,-0.61
fbgn0035734,cg14823,-0.61
fbgn0039102,spe,-0.61
fbgn0039111,ptpmt1,-0.61
fbgn0030993,mec2,-0.61
fbgn0035978,ugp,-0.61
fbgn0034756,cyp6d2,-0.61
fbgn0034885,eglp4,-0.61
fbgn0033814,qsox1,-0.61
fbgn0030828,cg5162,-0.6
fbgn0039755,cg15531,-0.6
fbgn0030484,gstt4,-0.6
fbgn0262801,twr,-0.59
fbgn0038829,cg17271,-0.59
fbgn0061356,cg18003,-0.59
fbgn0031184,cg14615,-0.59
fbgn0029823,shmt,-0.59
fbgn0037955,kyat,-0.58
fbgn0083966,cg34130,-0.58
fbgn0052203,spn75f,-0.58
fbgn0223610,none,-0.58
fbgn0086909,cg31751,-0.58
fbgn0027579,mino,-0.57
fbgn0004654,pgd,-0.57
fbgn0219842,none,-0.57
fbgn0054002,cg34002,-0.57
fbgn0037288,cg14661,-0.56
fbgn0052687,cg32687,-0.56
fbgn0004432,cyp1,-0.56
fbgn0037433,cg17919,-0.56
fbgn0036793,cg4174,-0.55
fbgn0032853,cg10651,-0.55
fbgn0031373,cg15358,-0.55
fbgn0037607,cg8036,-0.55
fbgn0051266,cg31266,-0.55
fbgn0036820,grx1,-0.54
fbgn0005533,rps17,-0.54
fbgn0036795,cg18233,-0.54
fbgn0280128,none,-0.54
fbgn0039049,cg6726,-0.54
fbgn0278645,none,-0.54
fbgn0050042,cpr49ab,-0.53
fbgn0038919,qsox2,-0.53
fbgn0037664,cg8420,-0.53
fbgn0001187,hex-c,-0.53
fbgn0033520,prx2540-1,-0.53
fbgn0278840,none,-0.53
fbgn0035726,cg9953,-0.52
fbgn0032834,cg13965,-0.52
fbgn0034296,cg10912,-0.52
fbgn0031973,spn28dc,-0.52
fbgn0034618,cg9485,-0.51
fbgn0030306,spase25,-0.51
fbgn0031000,muc18b,-0.51
fbgn0031907,cg5171,-0.51
fbgn0020236,atpcl,-0.51
fbgn0214992,none,-0.51
fbgn0250848,26-29-p,-0.5
fbgn0050488,antr,-0.5
fbgn0024293,spn43ab,-0.5
fbgn0004512,mdr49,-0.5
fbgn0034478,cg10822,-0.5
fbgn0030999,mur18b,-0.49
fbgn0027348,bgm,-0.49
fbgn0259979,cndp2,-0.49
fbgn0034068,casp,-0.49
fbgn0034662,cg13492,-0.49
fbgn0029093,cathd,-0.49
fbgn0034405,jheh2,-0.49
fbgn0035471,sc2,-0.49
fbgn0030521,ctsb1,-0.48
fbgn0038419,cg14879,-0.48
fbgn0030593,cg9512,-0.48
fbgn0031260,spp,-0.48
fbgn0030859,cg12990,-0.48
fbgn0039562,gp93,-0.47
fbgn0278830,none,-0.47
fbgn0279493,none,-0.47
fbgn0031741,cg11034,-0.47
fbgn0034383,cg17821,-0.46
fbgn0039754,cg9747,-0.46
fbgn0013772,cyp6a8,-0.46
fbgn0004066,prosalpha4,-0.46
fbgn0010611,hmgs,-0.45
fbgn0221174,none,-0.45
fbgn0032923,pld3,-0.45
fbgn0038819,cpr92f,-0.45
fbgn0053303,cg33303,-0.44
fbgn0033820,cg4716,-0.44
fbgn0050008,cg30008,-0.44
fbgn0262782,mdh1,-0.43
fbgn0032271,cg7329,-0.43
fbgn0013763,idgf6,-0.43
fbgn0014868,ost48,-0.42
fbgn0029821,cg4020,-0.4
fbgn0013954,fkbp12,-0.4
fbgn0042627,fasn2,-0.37
