enrichment_id,name,log2fc
fbgn0032495,cg16820,0.89
fbgn0012042,atta,0.81
fbgn0020386,pdk1,0.59
fbgn0050497,none,0.48
fbgn0040349,cg3699,-1.5
fbgn0022359,sodh-2,-1.44
fbgn0004045,yp1,-1.36
fbgn0043783,cg32444,-1.33
fbgn0034276,sardh,-1.32
fbgn0030737,none,-1.29
fbgn0038257,smp-30,-1.26
fbgn0036750,cg6034,-1.26
fbgn0220668,none,-1.26
fbgn0041337,cyp309a2,-1.23
fbgn0061356,cg18003,-1.21
fbgn0031974,cg12560,-1.2
fbgn0034468,obp56a,-1.17
fbgn0034511,gnbp-like3,-1.17
fbgn0259715,cg42369,-1.16
fbgn0002939,ninad,-1.15
fbgn0000406,cyt-b5-r,-1.15
fbgn0034247,cg6484,-1.14
fbgn0031970,cg7227,-1.13
fbgn0278798,none,-1.11
fbgn0259713,cg42367,-1.1
fbgn0004047,yp3,-1.07
fbgn0046876,obp83ef,-1.06
fbgn0020385,pug,-1.06
fbgn0029765,cg16756,-1.05
fbgn0086691,uk114,-1.04
fbgn0213515,none,-1.04
fbgn0216594,none,-1.03
fbgn0224728,none,-1.02
fbgn0025454,cyp6g1,-1.02
fbgn0063491,gste9,-1.01
fbgn0012036,aldh,-1
fbgn0278830,none,-1
fbgn0029823,shmt,-0.99
fbgn0039685,obp99b,-0.99
fbgn0029828,cg6067,-0.98
fbgn0040256,ugt35c1,-0.98
fbgn0259716,nepl6,-0.97
fbgn0038865,cdip,-0.97
fbgn0038105,yellow-f2,-0.97
fbgn0030425,nep6,-0.94
fbgn0034475,obp56h,-0.92
fbgn0037975,cg3397,-0.92
fbgn0033397,cyp4p3,-0.92
fbgn0050503,cg30503,-0.92
fbgn0028526,cg15293,-0.92
fbgn0040322,gnbp2,-0.92
fbgn0033170,spla2,-0.91
fbgn0035076,ance-5,-0.89
fbgn0034364,cg5493,-0.89
fbgn0030270,cg15199,-0.89
fbgn0023477,taldo,-0.89
fbgn0027348,bgm,-0.89
fbgn0033820,cg4716,-0.89
fbgn0053493,cg33493,-0.88
fbgn0032213,cg5390,-0.88
fbgn0280195,none,-0.88
fbgn0036857,aldh7a1,-0.87
fbgn0037607,cg8036,-0.87
fbgn0279337,none,-0.87
fbgn0034885,eglp4,-0.87
fbgn0013763,idgf6,-0.86
fbgn0030968,cg7322,-0.86
fbgn0032638,sph93,-0.85
fbgn0038147,ccha2,-0.85
fbgn0034943,fmo-1,-0.85
fbgn0005391,yp2,-0.84
fbgn0032287,cg6415,-0.84
fbgn0035189,cg9119,-0.84
fbgn0219402,none,-0.83
fbgn0033079,fmo-2,-0.83
fbgn0039682,obp99c,-0.83
fbgn0038878,cg3301,-0.83
fbgn0259682,jabba,-0.83
fbgn0034229,cg4847,-0.82
fbgn0030615,cyp4s3,-0.82
fbgn0011695,ebpiii,-0.82
fbgn0034117,cg7997,-0.82
fbgn0014031,spat,-0.81
fbgn0040582,bombc3,-0.81
fbgn0027552,cg10863,-0.8
fbgn0030239,cg17333,-0.8
fbgn0039801,npc2h,-0.8
fbgn0013307,odc1,-0.79
fbgn0036837,cg18135,-0.79
fbgn0031694,cyp4ac2,-0.79
fbgn0038194,cyp6d5,-0.79
fbgn0000592,est-6,-0.79
fbgn0037635,cg9837,-0.78
fbgn0031418,cg3609,-0.78
fbgn0085453,mthfs,-0.78
fbgn0014455,ahcy,-0.77
fbgn0012034,accoas,-0.77
fbgn0033246,acc,-0.77
fbgn0011705,rost,-0.76
fbgn0032864,cg2493,-0.76
fbgn0266369,mtp,-0.76
fbgn0032773,fon,-0.76
fbgn0011693,pdh,-0.75
fbgn0040398,cg14629,-0.75
fbgn0038463,cg3534,-0.75
fbgn0086254,akr1b,-0.75
fbgn0034470,obp56d,-0.75
fbgn0029932,cg4607,-0.75
fbgn0004654,pgd,-0.75
fbgn0027579,mino,-0.74
fbgn0037493,cr10032,-0.74
fbgn0031907,cg5171,-0.74
fbgn0038730,cg6300,-0.73
fbgn0031538,cg3246,-0.73
fbgn0058160,cg40160,-0.73
fbgn0024293,spn43ab,-0.73
fbgn0027657,glob1,-0.73
fbgn0034331,bombc2,-0.73
fbgn0033093,cg3270,-0.73
fbgn0015663,ugt36a1,-0.72
fbgn0026721,fat-spondin,-0.72
fbgn0027930,mp1,-0.72
fbgn0016122,acer,-0.71
fbgn0283427,fasn1,-0.71
fbgn0014032,sptr,-0.71
fbgn0263199,galk,-0.71
fbgn0052687,cg32687,-0.71
fbgn0038465,irc,-0.7
fbgn0030362,regucalcin,-0.7
fbgn0037973,cg18547,-0.7
fbgn0039300,rps27,-0.69
fbgn0218353,none,-0.69
fbgn0031824,cg9547,-0.69
fbgn0037146,cg7470,-0.69
fbgn0034724,babos,-0.69
fbgn0033728,cpr49ae,-0.69
fbgn0001208,hn,-0.68
fbgn0043806,cg32032,-0.68
fbgn0039611,nepl18,-0.68
fbgn0053138,agbe,-0.68
fbgn0039151,cg13607,-0.67
fbgn0022355,tsf1,-0.66
fbgn0043792,cg30427,-0.66
fbgn0087002,apolpp,-0.66
fbgn0025595,akhr,-0.66
fbgn0030593,cg9512,-0.65
fbgn0027578,nepl21,-0.65
fbgn0001187,hex-c,-0.65
fbgn0035091,cg3829,-0.64
fbgn0217203,none,-0.64
fbgn0039349,ssadh,-0.63
fbgn0034618,cg9485,-0.63
fbgn0036046,ilp2,-0.63
fbgn0031327,cg5397,-0.63
fbgn0033320,cg8586,-0.62
fbgn0027945,ppl,-0.61
fbgn0035298,scot,-0.61
fbgn0031973,spn28dc,-0.61
fbgn0001114,glt,-0.61
fbgn0039040,cg13833,-0.61
fbgn0035082,cg2811,-0.6
fbgn0039102,spe,-0.6
fbgn0020513,paics,-0.6
fbgn0004629,cys,-0.6
fbgn0016687,nurf-38,-0.59
fbgn0035978,ugp,-0.59
fbgn0034474,obp56g,-0.58
fbgn0039464,cg6330,-0.58
fbgn0032494,cg5945,-0.58
fbgn0013954,fkbp12,-0.57
fbgn0053080,cg33080,-0.57
fbgn0032029,cg17292,-0.57
fbgn0010225,gel,-0.57
fbgn0015808,scpx,-0.57
fbgn0034126,jtb,-0.57
fbgn0027611,lmanii,-0.57
fbgn0034282,mapmodulin,-0.56
fbgn0279105,none,-0.56
fbgn0027580,pcb,-0.56
