name	Af_F_wh	Dm_F_ov	Dp_F_ab	Dp_F_hd	Dp_M_ab	Dp_M_hd	Dm_F_wh_L	Dm_F_wh_D	Dm_M_ts
mrps29	1	0	0	0	0	0	0	0	0
cac	1	0	0	0	0	0	0	0	0
sm	1	0	0	0	0	0	0	0	0
cg14160	1	0	0	0	0	0	0	0	0
cpt2	1	0	0	0	0	0	0	0	0
cyst	1	0	0	0	0	0	0	0	0
gr64a	1	0	0	0	0	0	0	0	0
cg4998	1	0	0	0	0	0	0	0	0
cg13833	1	0	0	0	0	1	0	1	0
ugt50b3	1	0	0	0	0	0	1	1	0
ccklr-17d1	1	0	0	0	0	0	0	0	0
ir100a	1	0	0	0	0	0	0	0	0
grau	1	0	0	0	0	0	0	0	0
unc-76	1	0	0	0	0	0	0	0	0
cg31663	1	0	0	0	0	0	0	0	0
npc2c	1	0	0	0	0	0	0	0	0
spel1	1	0	0	0	0	0	0	0	0
ugt302c1	1	0	0	0	0	0	0	0	0
cyp4d1	1	0	0	0	0	0	0	0	1
cyp9f2	1	0	0	0	0	0	0	0	0
hexo1	1	0	0	0	0	0	0	0	0
su(var)205	1	0	0	0	0	0	0	0	0
cg31683	1	0	0	0	0	0	0	0	0
cg17477	1	0	0	0	0	0	0	0	0
chinmo	1	0	0	0	0	0	0	0	0
cg7968	1	0	0	0	0	0	0	0	1
cg6277	1	0	0	0	0	0	0	0	1
cht8	1	0	0	0	0	0	0	0	0
cg18420	1	0	1	1	0	0	0	0	0
crq	1	0	0	0	0	0	0	0	0
cg17636	1	0	0	0	0	0	0	0	0
ea	1	0	0	0	0	0	0	0	0
cdc42	1	0	0	0	0	0	0	0	0
cg14661	1	0	0	0	1	0	0	1	0
cg9150	1	0	0	0	0	0	0	0	0
herc2	1	0	0	0	0	0	0	0	0
cg12056	1	0	0	0	0	0	0	0	0
cg8028	1	0	0	0	0	0	0	0	0
gnbp1	1	0	0	0	0	0	0	0	0
cyp9b1	1	0	0	0	0	0	0	0	0
cg30158	1	0	0	0	0	0	0	0	0
cg31106	1	0	0	0	0	0	0	0	0
frg1	1	0	0	0	0	0	0	0	0
cg4928	1	0	0	0	0	0	0	0	0
pxt	1	0	0	0	0	0	0	0	1
regucalcin	1	0	0	0	0	1	0	1	0
ance-5	1	0	0	1	0	1	1	0	0
rh6	1	0	0	0	0	0	0	0	0
cg15923	1	0	0	0	0	0	0	0	0
nep5	1	0	0	0	0	0	0	0	0
irsp53	1	0	0	0	0	0	0	0	0
cct6	1	0	0	0	0	0	0	1	0
cg30471	1	0	0	0	0	0	0	0	0
cg4572	1	0	0	0	0	0	0	0	0
cg17776	1	0	0	0	0	0	0	0	0
fmo-1	1	0	0	0	1	1	0	1	0
cpr57a	1	0	0	0	0	0	0	0	0
cg15744	1	0	0	0	0	0	0	0	0
spase12	1	0	0	0	0	0	0	0	0
clt	1	0	0	0	0	0	0	0	0
galphaq	1	0	0	0	0	0	0	0	0
cg43333	1	0	0	0	0	0	0	0	0
cg7252	1	0	0	0	0	0	0	0	0
rh5	1	0	0	0	0	0	0	0	1
gbeta76c	1	0	0	0	0	0	0	0	0
rh3	1	0	0	0	0	0	0	0	0
trpl	1	0	0	0	0	0	0	0	0
gnpnat	1	0	0	0	0	0	0	0	0
cg17272	1	0	0	0	0	0	0	0	0
dyrk2	1	0	0	0	0	0	0	0	0
cg9917	1	0	0	0	0	0	0	0	0
cg2004	1	0	0	0	0	0	0	0	0
rpl22-like	0	1	0	0	0	0	0	0	0
asrna:cr43614	0	1	0	0	0	0	0	0	0
uif	0	1	1	0	0	0	0	1	0
skpc	0	1	0	0	0	0	0	0	0
dany	0	1	0	0	0	0	0	0	0
tota	0	1	0	0	0	0	0	0	1
lncrna:cr44357	0	1	0	0	0	0	0	1	0
mur18b	0	1	0	0	1	0	1	0	0
cg13101	0	1	0	0	0	0	0	0	0
cg42857	0	1	0	0	0	0	0	0	0
cg13375	0	1	0	0	0	0	0	0	0
cg15408	0	1	0	0	0	0	0	0	0
cr14033	0	1	0	0	0	0	1	0	0
cg14292	0	1	0	0	0	0	1	1	0
cg14245	0	1	0	0	0	0	0	0	0
cg6602	0	1	0	0	1	0	0	0	0
cg17752	0	1	0	0	0	0	0	0	1
tut	0	1	0	0	0	0	0	0	0
mco1	0	1	0	1	0	0	0	0	0
cg15279	0	1	0	0	0	0	0	0	0
cg42235	0	1	0	0	0	0	0	0	1
cg14346	0	1	0	0	0	0	0	0	0
cg3270	0	1	0	0	0	1	0	0	0
nox	0	1	0	0	0	0	0	0	0
wtrw	0	1	0	0	0	0	0	0	0
otk2	0	1	0	0	0	0	0	0	0
lncrna:cr43250	0	1	0	0	0	0	0	0	0
jigr1	0	1	0	0	0	0	0	0	0
ilp8	0	1	1	0	0	0	0	0	0
cg17691	0	1	0	0	0	0	0	0	0
cg10237	0	1	0	0	0	0	0	0	0
ugt36e1	0	1	0	0	0	0	1	0	0
cpr76bd	0	1	0	0	0	0	0	0	0
cg18258	0	1	0	0	0	0	0	1	1
nompc	0	1	0	0	0	0	0	0	0
cyp6a13	0	1	0	0	0	0	0	0	0
nolo	0	1	0	0	0	0	1	0	0
lncrna:cr44285	0	1	0	0	0	0	0	0	0
cg40298	0	1	0	0	0	0	0	0	0
lime	0	1	0	0	0	0	0	0	0
cg5111	0	1	0	0	0	0	0	0	0
cg34445	0	1	0	0	0	0	0	0	0
obp44a	0	1	0	0	0	0	0	0	0
tpnc73f	0	1	1	0	0	0	0	0	0
scp1	0	1	0	0	0	0	0	1	0
mlc2	0	1	1	0	1	0	0	0	0
cg1544	0	1	0	1	0	0	0	0	0
neurochondrin	0	1	1	0	0	0	0	1	0
lncrna:cr44263	0	1	0	0	0	0	0	0	0
cg3831	0	1	0	0	0	0	0	0	0
dptb	0	0	1	1	0	0	0	0	1
attc	0	0	1	0	0	0	0	0	0
edin	0	0	1	0	0	0	0	0	0
attd	0	0	1	1	0	0	0	0	0
fln	0	0	1	0	1	0	0	0	1
lmpt	0	0	1	0	1	0	0	0	0
tpnc4	0	0	1	0	1	0	0	0	1
cg43897	0	0	1	0	1	0	0	1	0
zasp67	0	0	1	0	1	0	0	0	0
strn-mlck	0	0	1	0	1	0	0	1	0
bt	0	0	1	0	1	0	0	1	0
up	0	0	1	0	1	0	0	0	0
unc-89	0	0	1	0	1	0	0	1	0
cg11854	0	0	1	0	0	0	0	0	0
zasp52	0	0	1	0	1	0	0	1	0
frac	0	0	1	0	0	0	0	1	0
cg5687	0	0	1	0	0	0	0	1	0
faro	0	0	1	0	0	0	0	0	0
gsts1	0	0	1	0	0	0	0	0	0
mpcp1	0	0	1	0	1	0	0	0	0
cg4017	0	0	1	0	0	0	0	0	0
pirk	0	0	1	0	0	0	0	0	0
cg8888	0	0	1	0	0	0	0	0	0
cg18304	0	0	1	0	1	0	0	0	0
eef1alpha2	0	0	1	0	1	0	0	0	0
l(2)01289	0	0	1	0	1	0	0	0	0
cg31140	0	0	1	0	0	0	0	0	0
cg32333	0	0	1	0	1	0	0	0	0
uro	0	0	1	0	0	0	0	0	0
lubel	0	0	1	0	1	0	0	1	0
mhc	0	0	1	0	1	0	0	0	0
ance-3	0	0	1	0	0	0	0	0	0
cg15617	0	0	1	0	1	0	0	0	0
nckx30c	0	0	1	0	0	0	0	0	0
pkcdelta	0	0	1	0	0	0	0	1	0
cg1136	0	0	1	0	0	0	0	1	0
cg9400	0	0	1	0	0	0	0	0	0
cg15043	0	0	1	0	0	0	0	0	1
ryr	0	0	1	0	0	0	0	1	0
gpo1	0	0	1	0	1	0	0	1	0
cg13311	0	0	1	0	0	0	0	0	0
clumsy	0	0	1	0	1	0	0	1	0
cg9812	0	0	1	0	0	0	0	1	0
cg1674	0	0	1	0	1	0	0	1	0
cg32521	0	0	1	0	0	0	0	0	0
cg34462	0	0	1	0	0	0	0	0	0
yellow-b	0	0	1	0	0	0	0	0	0
ds	0	0	1	0	0	0	0	0	0
hsc70-1	0	0	1	0	1	0	0	1	0
octalpha2r	0	0	1	0	0	0	0	0	0
brp	0	0	1	0	0	0	0	0	0
sals	0	0	1	0	0	0	0	1	0
shaw	0	0	1	0	0	0	0	0	0
c(3)g	0	0	1	0	0	0	1	0	0
mlp60a	0	0	1	0	1	0	0	1	0
cg10505	0	0	1	0	0	0	0	0	0
alk	0	0	1	0	0	0	0	0	0
p38c	0	0	1	0	0	0	0	0	0
ko	0	0	1	0	0	0	0	0	0
msp300	0	0	1	0	1	0	0	0	0
actn	0	0	1	0	1	0	0	0	0
doa	0	0	1	0	1	0	0	0	0
mlc1	0	0	1	0	1	0	0	0	0
nfi	0	0	1	0	0	0	0	0	0
cg11835	0	0	1	0	1	0	0	0	0
lrp4	0	0	1	0	0	0	0	0	0
cg42700	0	0	1	0	0	0	0	0	0
bnb	0	0	1	0	0	0	0	0	0
cana1	0	0	1	0	0	0	0	0	0
cg18067	0	0	1	0	0	0	0	0	0
smyda-1	0	0	1	0	0	0	0	0	0
fuca	0	0	1	0	0	0	0	0	0
cg14964	0	0	1	0	0	0	0	0	0
jbug	0	0	1	0	0	0	0	0	0
e	0	0	1	0	0	0	0	0	0
cg10359	0	0	1	0	0	0	0	0	0
if	0	0	1	0	0	0	0	0	0
cg45263	0	0	1	0	0	0	0	0	0
cg9372	0	0	1	0	0	0	0	0	0
prm	0	0	1	0	1	0	0	0	0
cg7194	0	0	1	0	0	0	0	0	0
tn	0	0	1	0	1	0	0	1	0
cg42390	0	0	1	0	1	0	0	0	0
cg14949	0	0	1	0	0	0	0	0	1
cg44245	0	0	1	0	0	0	0	1	0
cg10211	0	0	1	0	0	0	0	0	0
nplp3	0	0	1	0	0	0	0	0	1
cg5397	0	0	1	0	0	1	0	0	0
smyda-9	0	0	1	0	0	0	0	1	0
bond	0	0	1	0	0	0	0	0	0
wupa	0	0	1	0	1	0	0	0	0
grip	0	0	1	0	0	0	0	0	0
tm2	0	0	1	0	1	0	0	0	0
cbp53e	0	0	1	0	0	0	0	0	0
cg43078	0	0	1	0	1	0	0	0	0
cg4000	0	0	1	0	1	0	0	0	0
cg5028	0	0	1	0	1	0	0	0	0
cona	0	0	1	0	0	0	0	0	0
tnc	0	0	1	0	0	0	0	0	0
adamts-b	0	0	1	0	0	0	0	0	0
sarm	0	0	1	0	0	0	0	0	0
tsf3	0	0	1	0	0	0	0	0	0
rgn	0	0	1	0	1	0	0	0	0
pxn	0	0	1	0	0	0	0	1	0
form3	0	0	1	0	0	0	0	0	0
cg5758	0	0	1	0	0	0	0	0	0
cg31821	0	0	1	0	0	0	0	0	1
unc-115b	0	0	1	0	0	0	0	0	0
cg5177	0	0	1	0	0	0	0	1	0
eya	0	0	1	0	0	0	0	0	0
epsilontry	0	0	1	0	1	0	0	0	0
cg9416	0	0	1	0	0	0	0	0	0
ca-ma2d	0	0	1	0	1	0	0	0	0
cg33521	0	0	1	0	1	0	0	1	0
chkov2	0	0	1	0	0	0	0	0	0
zasp66	0	0	1	0	0	0	0	1	0
naat1	0	0	1	0	0	0	0	0	0
sema2b	0	0	1	0	0	0	0	0	0
gs2	0	0	1	0	0	0	0	1	0
pif1b	0	0	1	0	0	0	0	0	0
cg7888	0	0	1	0	0	0	0	0	0
gasp	0	0	1	0	1	0	0	0	0
cg10737	0	0	1	0	0	0	0	1	0
cg44098	0	0	1	0	0	0	0	0	0
cg8740	0	0	1	0	1	0	0	0	0
obp56d	0	0	1	0	1	1	0	1	0
cg13506	0	0	1	0	1	0	0	1	0
chas	0	0	1	0	0	0	0	0	0
pif1a	0	0	1	0	0	0	0	0	0
sp1029	0	0	1	0	0	0	0	0	0
mf	0	0	1	0	0	0	0	1	0
ald1	0	0	1	0	1	0	0	0	0
cda5	0	0	1	0	1	0	0	0	0
cg17111	0	0	1	0	0	0	0	1	0
cg12814	0	0	1	0	0	0	0	1	0
ebpiii	0	0	1	1	1	1	0	1	0
esyt2	0	0	1	0	0	0	0	0	0
cg3630	0	0	1	0	1	0	0	1	0
tep4	0	0	1	0	0	0	0	0	0
kdn	0	0	1	0	1	0	0	0	0
unc-115a	0	0	1	0	0	0	0	1	0
cg7720	0	0	1	0	0	0	1	0	0
cg17839	0	0	1	0	0	0	0	0	0
idgf4	0	0	1	0	0	0	0	0	0
cap	0	0	1	0	0	0	0	0	0
ppn	0	0	1	0	0	0	0	0	0
cg18596	0	0	1	0	0	0	0	0	0
axo	0	0	1	0	0	0	0	0	0
acp1	0	0	1	0	0	0	0	0	0
mipp1	0	0	1	0	0	0	0	0	0
gyg	0	0	1	0	1	0	0	0	0
tep3	0	0	1	0	0	0	0	1	0
tig	0	0	1	0	0	0	0	0	0
cpr62bb	0	0	1	0	0	0	0	1	0
cg17732	0	0	1	0	0	0	0	0	0
idh3b	0	0	1	0	0	0	0	0	0
mlp84b	0	0	1	0	0	0	0	1	0
cg45076	0	0	1	0	0	0	0	1	0
sp1173	0	0	1	0	0	0	0	1	0
cg1143	0	0	1	0	0	0	0	0	0
fili	0	0	1	0	0	0	0	0	0
jon65aiv	0	0	1	0	0	0	0	0	1
cg11073	0	0	1	0	0	0	0	1	0
cg16791	0	0	1	0	0	0	0	0	0
idh3a	0	0	1	0	1	0	0	0	0
cg5945	0	0	1	0	0	1	0	1	0
mhcl	0	0	1	0	1	0	0	0	0
cpr67b	0	0	1	0	0	0	0	1	1
msr-110	0	0	1	0	0	0	0	0	0
atilla	0	0	1	0	0	0	0	1	0
mgl	0	0	1	0	0	0	0	0	0
rfesp	0	0	1	0	0	0	0	0	0
macon1	0	0	1	0	0	0	0	0	0
cg14207	0	0	1	0	0	0	0	0	0
shot	0	0	1	0	1	0	0	0	0
ceng1a	0	0	1	0	0	0	0	0	0
lanb2	0	0	1	0	0	0	0	0	0
vkg	0	0	1	0	0	0	0	0	0
cyt-c1	0	0	1	0	1	0	0	0	0
lana	0	0	1	0	0	0	0	0	0
col4a1	0	0	1	0	0	0	0	0	0
fer2lch	0	0	1	0	0	0	0	0	0
pdha	0	0	1	0	0	0	0	0	0
fry	0	0	1	0	0	0	0	0	0
cg11147	0	0	1	0	0	0	0	0	0
jon66cii	0	0	1	0	0	0	0	0	0
tobi	0	0	1	0	1	0	0	0	0
cg3739	0	0	1	0	1	0	0	0	1
lmanvi	0	0	1	0	0	0	0	0	1
cg8093	0	0	1	0	0	0	0	0	1
lmaniii	0	0	1	0	0	0	0	0	1
dnapol-alpha73	0	0	1	0	0	0	0	0	0
jon99ci	0	0	1	1	0	0	0	0	1
alp8	0	0	1	0	1	0	0	0	0
dhd	0	0	1	0	0	0	0	0	0
