term_id	term_name	Dm_F_wh_L	Dm_F_ov	Dp_F_ab	Dp_F_hd	Dp_M_ab	Dp_M_hd	Dm_F_wh_D	Dm_M_ts	Af_F_wh
GO:0000795	synaptonemal complex	1	0	1	0	0	0	0	0	0
GO:0099086	synaptonemal structure	1	0	1	0	0	0	0	0	0
GO:0043292	contractile fiber	0	0	1	0	1	0	1	0	0
GO:0030016	myofibril	0	0	1	0	1	0	1	0	0
GO:0030017	sarcomere	0	0	1	0	1	0	1	0	0
GO:0099081	supramolecular polymer	0	0	1	0	1	0	1	0	0
GO:0099512	supramolecular fiber	0	0	1	0	1	0	1	0	0
GO:0015629	actin cytoskeleton	0	0	1	0	1	0	1	0	0
GO:0031674	I band	0	0	1	0	1	0	1	0	0
GO:0030018	Z disc	0	0	1	0	1	0	1	0	0
GO:0099080	supramolecular complex	0	0	1	0	1	0	1	0	0
GO:0036379	myofilament	0	0	1	0	1	0	1	0	0
GO:0062023	collagen-containing extracellular matrix	0	0	1	0	0	0	0	0	0
GO:0005863	striated muscle myosin thick filament	0	0	1	0	1	0	0	0	0
GO:0031672	A band	0	0	1	0	1	0	1	0	0
GO:0032982	myosin filament	0	0	1	0	1	0	0	0	0
GO:0031941	filamentous actin	0	0	1	0	1	0	1	0	0
GO:0031012	extracellular matrix	0	0	1	0	0	0	1	0	0
GO:0001725	stress fiber	0	0	1	0	1	0	1	0	0
GO:0042641	actomyosin	0	0	1	0	1	0	1	0	0
GO:0097517	contractile actin filament bundle	0	0	1	0	1	0	1	0	0
GO:0030312	external encapsulating structure	0	0	1	0	0	0	1	1	0
GO:0005604	basement membrane	0	0	1	0	0	0	0	0	0
GO:0032432	actin filament bundle	0	0	1	0	1	0	1	0	0
GO:0005884	actin filament	0	0	1	0	1	0	0	0	0
GO:0005576	extracellular region	0	0	1	1	1	1	1	1	0
GO:0005856	cytoskeleton	0	0	1	0	1	0	0	0	0
GO:0005615	extracellular space	0	0	1	1	1	1	1	1	0
GO:0005865	striated muscle thin filament	0	0	1	0	1	0	0	0	0
GO:0016459	myosin complex	0	0	1	0	1	0	0	0	0
GO:0005912	adherens junction	0	0	1	0	1	0	0	0	0
GO:0005861	troponin complex	0	0	1	0	1	0	0	0	0
GO:0030055	cell-substrate junction	0	0	1	0	1	0	0	0	0
GO:0070161	anchoring junction	0	0	1	0	1	0	0	0	0
GO:0042383	sarcolemma	0	0	1	0	0	0	0	0	0
GO:0071944	cell periphery	0	0	1	1	0	0	1	0	0
GO:0030054	cell junction	0	0	1	0	1	0	0	0	0
GO:0043679	axon terminus	0	0	1	0	0	0	0	0	0
GO:0044306	neuron projection terminus	0	0	1	0	0	0	0	0	0
GO:0031430	M band	0	0	1	0	1	0	0	0	0
GO:0005911	cell-cell junction	0	0	1	0	1	0	0	0	0
GO:0005925	focal adhesion	0	0	1	0	1	0	0	0	0
