term_id	term_name	Dm_F_wh_L	Dm_F_ov	Dp_F_ab	Dp_F_hd	Dp_M_ab	Dp_M_hd	Dm_F_wh_D	Dm_M_ts	Af_F_wh
GO:0016054	organic acid catabolic process	1	0	0	1	0	1	0	0	0
GO:0019432	triglyceride biosynthetic process	1	0	0	1	1	1	0	0	0
GO:0046395	carboxylic acid catabolic process	1	0	0	1	0	1	0	0	0
GO:0046460	neutral lipid biosynthetic process	1	0	0	1	1	1	0	0	0
GO:0046463	acylglycerol biosynthetic process	1	0	0	1	1	1	0	0	0
GO:0072329	monocarboxylic acid catabolic process	1	0	0	1	0	1	0	0	1
GO:0006520	cellular amino acid metabolic process	1	0	0	1	1	1	0	0	0
GO:0035825	homologous recombination	1	0	0	0	0	0	0	0	0
GO:0000964	mitochondrial RNA 5'-end processing	1	0	0	0	0	0	0	0	0
GO:0097745	mitochondrial tRNA 5'-end processing	1	0	0	0	0	0	0	0	0
GO:0019752	carboxylic acid metabolic process	1	0	0	1	1	1	1	0	0
GO:0006082	organic acid metabolic process	1	0	0	1	1	1	1	0	0
GO:0044282	small molecule catabolic process	1	0	0	1	1	1	0	0	0
GO:0043436	oxoacid metabolic process	1	0	0	1	1	1	1	0	0
GO:0009062	fatty acid catabolic process	1	0	0	1	0	1	0	0	1
GO:0003014	renal system process	1	0	0	0	1	0	0	0	0
GO:1901605	alpha-amino acid metabolic process	1	0	0	1	1	1	0	0	0
GO:0019626	short-chain fatty acid catabolic process	1	0	0	1	0	0	0	0	0
GO:0030514	negative regulation of BMP signaling pathway	1	0	0	0	0	0	0	0	0
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	1	0	0	0	0	0	0	0	0
GO:0072765	centromere localization	1	0	0	0	0	0	0	0	0
GO:0006641	triglyceride metabolic process	1	0	0	1	0	1	0	0	0
GO:0007129	homologous chromosome pairing at meiosis	1	0	1	0	0	0	0	0	0
GO:0018230	peptidyl-L-cysteine S-palmitoylation	1	0	0	0	0	0	0	0	0
GO:0018231	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	1	0	0	0	0	0	0	0	0
GO:0098653	centromere clustering	1	0	0	0	0	0	0	0	0
GO:0046459	short-chain fatty acid metabolic process	1	0	0	1	0	0	0	0	0
GO:0018345	protein palmitoylation	1	0	0	0	0	0	0	0	0
GO:0018198	peptidyl-cysteine modification	1	0	0	0	0	0	0	0	0
GO:0140527	reciprocal homologous recombination	1	0	0	0	0	0	0	0	0
GO:0045752	positive regulation of Toll signaling pathway	1	0	0	0	1	0	0	0	0
GO:0007131	reciprocal meiotic recombination	1	0	0	0	0	0	0	0	0
GO:0040005	chitin-based cuticle attachment to epithelium	1	0	0	0	0	0	1	0	0
GO:0038166	angiotensin-activated signaling pathway	1	0	0	0	0	0	0	0	0
GO:0042157	lipoprotein metabolic process	1	0	0	0	0	0	0	0	0
GO:0016182	synaptic vesicle budding from endosome	1	0	0	0	0	0	0	0	0
GO:0016202	regulation of striated muscle tissue development	1	0	0	0	1	0	0	0	0
GO:0035610	protein side chain deglutamylation	1	0	0	0	0	0	0	0	0
GO:0035608	protein deglutamylation	1	0	0	0	0	0	0	0	0
GO:0015882	L-ascorbic acid transmembrane transport	1	0	0	0	0	0	0	0	0
GO:0036498	IRE1-mediated unfolded protein response	1	0	0	0	0	0	0	0	0
GO:0019481	L-alanine catabolic process, by transamination	1	0	0	0	0	0	0	0	0
GO:0019541	propionate metabolic process	1	0	0	1	0	0	0	0	0
GO:0035114	imaginal disc-derived appendage morphogenesis	1	0	0	0	0	0	0	0	0
GO:0035107	appendage morphogenesis	1	0	0	0	0	0	0	0	0
GO:0034660	ncRNA metabolic process	1	0	0	0	0	0	0	0	0
GO:0033345	asparagine catabolic process via L-aspartate	1	0	0	0	0	0	0	0	0
GO:0032787	monocarboxylic acid metabolic process	1	0	0	1	1	1	1	0	0
GO:0031570	DNA integrity checkpoint signaling	1	0	0	0	0	0	0	0	0
GO:0018298	obsolete protein-chromophore linkage	1	0	0	0	0	0	0	0	1
GO:0042158	lipoprotein biosynthetic process	1	0	0	0	0	0	0	0	0
GO:0019401	alditol biosynthetic process	1	0	0	1	0	0	0	0	0
GO:0019543	propionate catabolic process	1	0	0	1	0	0	0	0	0
GO:0035120	post-embryonic appendage morphogenesis	1	0	0	0	0	0	0	0	0
GO:0030510	regulation of BMP signaling pathway	1	0	0	0	0	0	0	0	0
GO:0034637	cellular carbohydrate biosynthetic process	1	0	0	1	1	1	1	0	0
GO:0042770	signal transduction in response to DNA damage	1	0	0	0	0	0	0	0	0
GO:0071476	cellular hypotonic response	1	0	0	0	0	0	0	0	0
GO:0071477	cellular hypotonic salinity response	1	0	0	0	0	0	0	0	0
GO:0090150	establishment of protein localization to membrane	1	0	0	0	0	0	0	0	0
GO:0090288	negative regulation of cellular response to growth factor stimulus	1	0	0	0	0	0	0	0	0
GO:0097254	renal tubular secretion	1	0	0	0	0	0	0	0	0
GO:0098656	anion transmembrane transport	1	0	1	0	0	0	0	0	0
GO:0098943	neurotransmitter receptor transport, postsynaptic endosome to lysosome	1	0	0	0	0	0	0	0	0
GO:0106217	tRNA C3-cytosine methylation	1	0	1	0	0	0	0	0	0
GO:1901606	alpha-amino acid catabolic process	1	0	0	1	0	1	0	0	0
GO:1901739	regulation of myoblast fusion	1	0	0	0	0	0	0	0	0
GO:1901861	regulation of muscle tissue development	1	0	0	0	1	0	0	0	0
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	1	0	0	0	0	1	0	0	0
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	1	0	0	0	0	1	0	0	0
GO:1904385	cellular response to angiotensin	1	0	0	0	0	0	0	0	0
GO:1990776	response to angiotensin	1	0	0	0	0	0	0	0	0
GO:0070127	tRNA aminoacylation for mitochondrial protein translation	1	0	0	0	0	0	0	0	0
GO:0042539	hypotonic salinity response	1	0	0	0	0	0	0	0	0
GO:0061462	protein localization to lysosome	1	0	0	0	0	0	0	0	0
GO:0060142	regulation of syncytium formation by plasma membrane fusion	1	0	0	0	0	0	0	0	0
GO:0043039	tRNA aminoacylation	1	0	0	0	0	0	0	0	0
GO:0043252	sodium-independent organic anion transport	1	0	0	0	0	0	0	0	0
GO:0043542	endothelial cell migration	1	0	0	0	0	0	0	0	0
GO:0044242	cellular lipid catabolic process	1	0	0	1	1	1	0	0	0
