term_id	term_name	Dm_F_wh_L	Dm_F_ov	Dp_F_ab	Dp_F_hd	Dp_M_ab	Dp_M_hd	Dm_F_wh_D	Dm_M_ts	Af_F_wh
GO:0015291	secondary active transmembrane transporter activity	1	1	1	0	1	0	1	0	0
GO:0016830	carbon-carbon lyase activity	1	0	0	1	0	1	0	0	0
GO:0015293	symporter activity	1	1	1	0	0	0	1	0	0
GO:0008509	anion transmembrane transporter activity	1	0	0	0	1	0	0	0	0
GO:0003913	DNA photolyase activity	1	0	0	0	0	0	0	0	0
GO:0003904	deoxyribodipyrimidine photo-lyase activity	1	0	0	0	0	0	0	0	0
GO:0140640	catalytic activity, acting on a nucleic acid	1	0	0	0	0	0	0	0	0
GO:0004144	diacylglycerol O-acyltransferase activity	1	0	0	0	0	0	0	0	1
GO:0050660	flavin adenine dinucleotide binding	1	0	0	1	1	1	0	1	0
GO:0016831	carboxy-lyase activity	1	0	0	1	0	1	0	0	0
GO:0019707	protein-cysteine S-acyltransferase activity	1	0	0	0	0	0	0	0	0
GO:0045735	nutrient reservoir activity	1	0	0	1	1	1	0	0	0
GO:0019706	protein-cysteine S-palmitoyltransferase activity	1	0	0	0	0	0	0	0	0
GO:0016829	lyase activity	1	0	0	1	0	1	0	0	0
GO:0008514	organic anion transmembrane transporter activity	1	0	0	0	0	0	0	0	0
GO:0022804	active transmembrane transporter activity	1	0	1	0	0	0	0	0	0
GO:0016409	palmitoyltransferase activity	1	0	0	0	0	0	0	0	0
GO:0140101	catalytic activity, acting on a tRNA	1	0	0	0	0	0	0	0	0
GO:0004611	phosphoenolpyruvate carboxykinase activity	1	0	0	1	0	0	0	0	0
GO:0015562	efflux transmembrane transporter activity	1	0	0	0	0	0	0	1	0
GO:0015347	sodium-independent organic anion transmembrane transporter activity	1	0	0	0	0	0	0	1	0
GO:0008798	beta-aspartyl-peptidase activity	1	0	0	0	0	0	0	0	0
GO:0140097	catalytic activity, acting on DNA	1	0	0	0	0	0	0	0	1
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	1	0	0	1	0	0	0	0	0
GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity	1	0	0	1	1	1	0	0	0
GO:0016417	S-acyltransferase activity	1	0	0	0	0	0	0	0	0
GO:0072555	17-beta-ketosteroid reductase activity	1	0	0	1	1	1	0	0	0
GO:0004364	glutathione transferase activity	1	0	1	0	0	1	0	0	0
GO:0016411	acylglycerol O-acyltransferase activity	1	0	0	0	0	0	0	0	0
GO:1990165	single-strand break-containing DNA binding	1	0	0	0	0	0	0	0	0
GO:0008374	O-acyltransferase activity	1	0	0	1	0	1	0	0	1
GO:0051139	metal cation:proton antiporter activity	1	0	0	1	0	0	0	0	0
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity	1	0	0	0	0	0	0	0	0
GO:0072320	volume-sensitive chloride channel activity	1	0	0	0	0	0	0	0	0
GO:0003993	acid phosphatase activity	1	0	0	0	0	0	0	0	0
GO:0005225	volume-sensitive anion channel activity	1	0	0	0	0	0	0	0	0
GO:0046570	methylthioribulose 1-phosphate dehydratase activity	1	0	0	0	0	0	0	0	0
GO:0016875	ligase activity, forming carbon-oxygen bonds	1	0	0	0	0	0	0	0	0
GO:0017116	single-stranded DNA helicase activity	1	0	0	0	0	0	0	0	0
GO:0000253	3-keto sterol reductase activity	1	0	0	1	0	1	0	0	0
GO:0004812	aminoacyl-tRNA ligase activity	1	0	0	0	0	0	0	0	0
GO:0008520	L-ascorbate:sodium symporter activity	1	0	0	0	0	0	0	1	0
GO:0015229	L-ascorbic acid transmembrane transporter activity	1	0	0	0	0	0	0	1	0
GO:0015145	monosaccharide transmembrane transporter activity	1	0	0	0	0	0	0	1	0
GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	1	0	0	0	0	0	0	0	0
GO:0015086	cadmium ion transmembrane transporter activity	1	0	0	0	0	0	0	0	0
GO:0005451	monovalent cation:proton antiporter activity	1	0	0	1	0	0	0	0	0
GO:0071949	FAD binding	1	0	0	1	0	0	0	0	0
GO:0015299	solute:proton antiporter activity	1	0	0	1	0	0	0	0	0
GO:0070410	co-SMAD binding	1	0	0	0	0	0	0	0	0
GO:0071795	K11-linked polyubiquitin modification-dependent protein binding	1	0	1	0	0	0	0	0	0
GO:0008194	UDP-glycosyltransferase activity	1	0	0	1	0	0	0	0	1
GO:0015020	glucuronosyltransferase activity	1	0	0	1	0	1	0	1	1
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity	1	0	0	0	0	0	0	0	0
GO:0046988	asioloorosomucoid beta-1,3-glucuronosyltransferase activity	1	0	0	0	0	0	0	0	0
