name	Lind_up	Lind_down	He_up	He_down	Bai_F_abd_up	Bai_F_abd_down	Bai_F_head_up	Bai_F_head_down	Bai_M_abd_up	Bai_M_abd_down	Bai_M_head_up	Bai_M_head_down	Det_up	Det_down	Car_up	Car_down
CG13029	4,31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG13947	3,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR43361	3,38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsp1beta	3,3	0	0	0	0	0	0	0	0	-1,07	0	0	0	0	0	0
CG1971	3,28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14985	2,95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l(2)03659	2,42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyn	2,39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR42861	2,32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10725	2,31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LysE	2,27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nrm	2,18	0	0	0	0	0	0	0	0	0	0	0	0,747770352	0	0	0
spirit	2,01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4p2	2,01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l(2)41Ab	1,98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oatp58Dc	1,89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GstD4	1,84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpt3R	1,84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG10962	1,83	0	0	0	0	0	0	-1,54	0	0	0	0	0	0	0	0
CG9170	1,78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tty	1,75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corolla	1,74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG8858	1,71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG43679	1,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG31997	1,69	0	0	0	0	0	0	0	0	0	0	0	0,524400314	0	0	0
Jon99Cii	1,65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG12708	1,64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pepck2	1,61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tsh	1,59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4p1	1,58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctl2	1,56	0	0	0	0	-0,5	0	0	0	0	0	0	0	0	0	0
fiz	1,55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG7102	1,36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1246	1,35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG42674	1,33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1503	1,33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43837	1,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG15365	1,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt50B3	1,27	0	0	0	0	0	0	0	0	0	0	0	0	-0,726993421	2,24	0
Apl	1,27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZnT41F	1,26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
