GO_term	Dm_F_wh_L(up)	Dm_F_wh_L(down)	Dm_F_ov(up)	Dm_F_ov(down)	Dp_F_ab(up)	Dp_F_ab(down)	Dp_F_hd(up)	Dp_F_hd(down)	Dp_M_ab(up)	Dp_M_ab(down)	Dp_M_hd(up)	Dp_M_hd(down)	Dm_F_wh_D(up)	Dm_F_wh_D(down)	Dm_M_ts(up)	Dm_M_ts(down)	Af_F_wh(up)	Af_F_wh(down)
GO:0015291	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
GO:0015293	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0008509	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GO:0019707	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016417	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0045735	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0016409	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008798	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008520	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0008514	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004613	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0017116	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015562	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
GO:0015086	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0022804	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0033699	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0033925	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0046570	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005225	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004611	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0015229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0070410	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1990165	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0072320	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0071795	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0003993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0017176	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016899	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0016747	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1
GO:0016746	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1
GO:0016614	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0
GO:0008453	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0046915	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0061778	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0003796	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
GO:0072555	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0072582	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0015347	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:1990518	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016427	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0046987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019784	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000253	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0004497	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0
GO:0046988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0047875	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
GO:0004703	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004814	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004067	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0036402	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005201	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
