Element;CaragataDown;CaragataUp;ZhengDown;ZhengUp;BaiaoDown;BaiaoUp;LindseyDown;LindseyUp
OG6_101716;1;0;0;0;0;0;0;0
OG6_104148;1;0;0;0;0;0;0;0
OG6_116614;1;0;0;0;0;0;0;0
OG6_108785;1;0;0;0;0;0;0;0
OG6_129221;1;0;0;0;0;0;0;0
OG6_100177;1;0;0;0;0;0;0;0
OG6_100109;1;0;0;0;0;0;0;0
OG6_123123;1;0;0;0;0;0;0;0
OG6_142139;1;0;0;0;0;0;0;0
OG6_100150;1;0;0;0;0;0;0;0
OG6_183861;1;0;0;0;0;0;0;0
OG6_136542;1;0;0;0;0;0;0;0
OG6_128912;1;0;0;0;0;0;0;0
OG6r6_210033;1;1;0;0;0;0;0;0
OG6_136682;1;0;0;0;0;0;0;0
OG6_183852;1;0;0;0;0;0;0;0
OG6_104797;1;1;0;0;0;0;0;0
OG6_103297;1;0;0;0;0;0;0;0
OG6_100594;1;0;0;1;0;0;0;0
OG6_128966;1;0;0;0;0;0;0;0
OG6_100159;1;1;0;0;0;0;0;0
OG6_104168;1;0;0;0;0;0;0;0
OG6_136469;1;0;0;0;0;0;0;0
OG6_100553;1;0;0;0;0;0;0;0
OG6_163165;1;0;0;0;0;0;0;0
OG6_163348;1;0;0;0;0;0;0;0
OG6_126440;1;0;0;0;0;0;0;0
OG6_124296;1;0;0;0;0;0;0;0
OG6_202153;1;0;0;0;0;0;0;0
OG6_104608;1;0;0;0;0;0;0;0
OG6_102173;1;0;0;0;0;0;0;0
OG6_184094;1;0;0;0;0;0;0;0
OG6_117853;1;1;0;0;0;0;0;0
OG6_107491;1;0;0;0;0;0;0;0
OG6_114766;1;0;0;0;0;0;0;0
OG6_100394;1;0;0;0;0;0;0;0
OG6_101744;1;1;0;0;0;0;0;0
OG6_110407;1;0;0;0;0;0;0;0
OG6_115619;1;0;0;0;0;0;0;0
OG6_142190;1;0;0;0;0;0;0;0
OG6_129012;1;0;0;0;0;0;0;0
OG6_183458;1;0;0;0;0;0;0;0
OG6_100011;1;1;0;0;0;0;0;0
OG6_142277;1;0;0;0;0;0;0;0
OG6_106281;1;0;0;0;0;0;0;0
OG6_142054;1;0;0;0;0;0;0;0
OG6_100195;1;1;0;0;0;0;0;0
OG6_120825;1;0;0;0;0;0;0;0
OG6_124127;1;0;0;0;0;0;0;0
OG6_102114;1;0;0;0;0;0;0;0
OG6_104079;0;1;0;0;0;0;0;0
OG6_100303;0;1;0;0;0;0;0;0
OG6r6_149263;0;1;0;0;0;0;0;0
OG6_150857;0;1;0;0;0;0;0;0
OG6_183832;0;1;0;0;0;0;0;0
OG6_100067;0;1;0;0;0;0;0;0
OG6_104479;0;1;0;0;0;0;0;0
OG6_100086;0;1;0;0;0;0;0;0
OG6_119256;0;1;0;1;0;0;0;0
OG6_129328;0;1;0;0;0;0;0;0
OG6_114020;0;1;0;0;0;0;0;0
OG6_126480;0;1;0;0;0;0;0;0
OG6_112836;0;1;0;0;0;0;0;0
OG6_150752;0;1;0;0;0;0;0;0
OG6_183474;0;1;0;0;0;0;0;0
OG6_150989;0;1;0;0;0;0;0;0
OG6_100052;0;1;0;1;0;0;1;1
OG6_105354;0;1;0;0;0;0;0;0
OG6_112347;0;1;0;0;0;0;0;0
OG6_136412;0;1;0;0;0;0;0;0
OG6_132573;0;1;0;0;1;0;0;0
OG6_136647;0;1;0;0;0;0;0;0
OG6_136746;0;1;0;1;0;0;0;0
OG6_150980;0;1;0;0;0;0;0;0
OG6_116574;0;1;0;0;0;0;0;0
OG6_186994;0;1;0;0;0;0;0;0
OG6_113928;0;1;0;0;0;0;0;0
OG6_100193;0;1;0;0;0;0;0;0
OG6_183748;0;1;0;0;0;0;0;0
OG6_106736;0;1;0;0;0;0;0;0
OG6_184097;0;1;0;0;0;0;0;0
OG6_111467;0;1;0;1;0;0;0;0
OG6_111098;0;1;0;0;0;0;0;0
OG6_103909;0;1;0;0;0;0;0;0
OG6_100014;0;1;1;1;0;0;0;1
OG6_124216;0;1;0;0;0;0;0;0
OG6_136637;0;1;0;0;0;0;0;0
OG6_101376;0;1;0;0;0;0;0;0
OG6_116542;0;1;0;0;0;0;0;0
OG6_107743;0;1;0;0;0;0;1;0
OG6_126331;0;1;0;0;0;0;0;0
OG6_119235;0;1;0;0;0;0;0;0
OG6_163061;0;1;0;0;0;0;0;0
OG6_150747;0;1;0;0;0;0;0;0
OG6_150740;0;1;0;0;0;0;0;0
OG6_163201;0;1;0;0;0;0;0;0
OG6_100578;0;1;0;0;0;0;0;0
OG6_132254;0;1;0;0;0;0;0;0
OG6_100320;0;1;0;0;0;0;1;1
OG6_124223;0;1;0;0;0;0;0;0
OG6_237128;0;1;0;0;0;0;0;0
OG6_100069;0;1;0;0;0;0;0;0
OG6_100000;0;1;0;0;0;0;1;0
OG6_100456;0;1;0;0;0;0;0;0
OG6_100859;0;1;0;0;0;0;0;0
OG6_102650;0;1;0;0;0;0;0;0
OG6_104240;0;1;0;0;0;0;0;0
OG6_132341;0;1;0;1;0;0;0;0
OG6_102961;0;1;0;0;0;0;0;0
OG6_183498;0;1;0;0;0;0;0;0
OG6_114720;0;1;0;0;0;0;0;0
OG6_129052;0;1;0;0;0;0;0;0
OG6_100082;0;1;0;0;0;0;0;0
OG6_105059;0;1;0;0;0;0;0;0
OG6_163489;0;1;0;0;0;0;0;0
OG6_103480;0;1;0;0;0;0;0;0
OG6_122506;0;1;0;0;0;0;0;0
OG6_163256;0;1;0;0;0;0;0;0
OG6_111931;0;0;1;0;0;0;0;0
OG6_107793;0;0;1;0;0;0;0;0
OG6_480631;0;0;1;0;0;0;0;0
OG6_136651;0;0;1;0;0;0;0;0
OG6_101789;0;0;1;0;0;0;0;0
OG6_124189;0;0;1;0;0;1;0;0
OG6_117811;0;0;1;0;0;0;0;0
OG6_112849;0;0;1;0;0;0;0;0
OG6_142314;0;0;1;0;0;0;0;0
OG6_480269;0;0;1;0;0;0;0;0
OG6_106353;0;0;1;0;0;0;0;1
OG6_144340;0;0;1;0;0;0;0;0
OG6_106196;0;0;1;0;0;0;0;0
OG6_136448;0;0;1;0;0;0;0;0
OG6_479274;0;0;1;0;0;0;0;0
OG6_203662;0;0;1;0;0;0;0;0
OG6_100402;0;0;1;1;0;0;0;1
OG6_479233;0;0;1;0;0;0;0;0
OG6_100228;0;0;1;0;0;0;0;0
OG6_124173;0;0;1;0;0;0;1;0
OG6_120788;0;0;1;0;0;1;0;0
OG6_126457;0;0;1;0;0;0;0;0
OG6_122477;0;0;1;0;0;1;0;0
OG6_118003;0;0;1;0;0;0;0;0
OG6_136496;0;0;1;0;0;0;0;0
OG6_106255;0;0;1;0;0;1;0;0
OG6_100311;0;0;1;0;0;0;0;0
OG6_480761;0;0;1;0;0;0;0;0
OG6_100690;0;0;1;0;0;0;0;0
OG6_108302;0;0;1;0;0;0;0;0
OG6_109484;0;0;0;1;0;0;0;0
OG6_145597;0;0;0;1;0;0;0;0
OG6_111072;0;0;0;1;0;0;0;0
OG6_129037;0;0;0;1;0;0;0;0
OG6_101015;0;0;0;1;0;0;0;0
OG6_110447;0;0;0;1;0;1;0;0
OG6_103357;0;0;0;1;0;0;0;0
OG6_147662;0;0;0;1;0;0;0;0
OG6_175157;0;0;0;1;0;0;0;0
OG6_102550;0;0;0;1;1;1;0;1
OG6_119236;0;0;0;1;0;0;0;0
OG6_111841;0;0;0;1;1;0;0;0
OG6_188006;0;0;0;1;0;0;1;0
OG6_106092;0;0;0;1;0;0;0;0
OG6_117904;0;0;0;1;0;0;0;0
OG6_132356;0;0;0;1;0;0;0;0
OG6_115576;0;0;0;1;0;1;0;0
OG6_112830;0;0;0;1;0;0;0;0
OG6_136479;0;0;0;1;0;0;0;0
OG6_111060;0;0;0;1;0;0;0;0
OG6_129107;0;0;0;1;0;0;0;1
OG6_107540;0;0;0;1;0;0;0;0
OG6_480238;0;0;0;1;0;0;0;0
OG6_126426;0;0;0;1;0;0;0;0
OG6_100040;0;0;0;1;0;0;0;0
OG6_105714;0;0;0;1;0;0;0;0
OG6_480537;0;0;0;1;0;0;0;0
OG6_136721;0;0;0;1;0;0;0;0
OG6_479527;0;0;0;1;0;0;0;0
OG6_167512;0;0;0;1;0;0;0;0
OG6_112302;0;0;0;1;0;0;0;0
OG6_112335;0;0;0;1;0;0;0;0
OG6_103358;0;0;0;1;0;0;1;0
OG6_101216;0;0;0;1;0;0;0;0
OG6_103560;0;0;0;1;0;0;0;0
OG6_103230;0;0;0;1;1;0;0;0
OG6_126367;0;0;0;1;0;0;0;0
OG6_175116;0;0;0;1;0;0;0;0
OG6_148704;0;0;0;1;0;0;0;0
OG6_130021;0;0;0;1;0;0;0;0
OG6_479501;0;0;0;1;0;0;0;0
OG6_124337;0;0;0;1;0;0;0;0
OG6_100895;0;0;0;1;0;0;0;0
