"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","0.002497790965513988","2.602443909565722","111","7","3","11759","FBGN0261575,FBGN0032069,FBGN0032066"
"GO:MF","mannosidase activity","GO:0015923","0.002497790965513988","2.602443909565722","15","7","2","11759","FBGN0032069,FBGN0032066"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","0.002497790965513988","2.602443909565722","92","7","3","11759","FBGN0261575,FBGN0032069,FBGN0032066"
"GO:MF","alpha-mannosidase activity","GO:0004559","0.002497790965513988","2.602443909565722","14","7","2","11759","FBGN0032069,FBGN0032066"
"GO:MF","ubiquitin ligase activator activity","GO:1990757","0.003411556048328927","2.467047489317383","4","38","2","11759","FBGN0001086,FBGN0000351"
"GO:MF","ubiquitin-protein transferase activator activity","GO:0097027","0.003411556048328927","2.467047489317383","4","38","2","11759","FBGN0001086,FBGN0000351"
"GO:MF","S-adenosylmethionine-homocysteine S-methyltransferase activity","GO:0008898","0.0035174984259269096","2.4537660882390333","2","100","2","11759","FBGN0032727,FBGN0032726"
"GO:MF","ubiquitin-protein transferase regulator activity","GO:0055106","0.0039720270185449906","2.400987806006191","5","38","2","11759","FBGN0001086,FBGN0000351"
"GO:MF","anaphase-promoting complex binding","GO:0010997","0.0039720270185449906","2.400987806006191","5","38","2","11759","FBGN0001086,FBGN0000351"
"GO:MF","double-stranded DNA exodeoxyribonuclease activity","GO:0008309","0.006794718213825212","2.1678285493388962","5","52","2","11759","FBGN0038608,FBGN0015553"
"GO:MF","S-methyltransferase activity","GO:0008172","0.012843788670936069","1.8913068488390592","4","100","2","11759","FBGN0032727,FBGN0032726"
"GO:MF","5'-flap endonuclease activity","GO:0017108","0.012843788670936069","1.8913068488390592","7","52","2","11759","FBGN0030170,FBGN0015553"
"GO:MF","flap endonuclease activity","GO:0048256","0.014821743452499425","1.8291007081471158","8","52","2","11759","FBGN0030170,FBGN0015553"
"GO:MF","chromatin insulator sequence binding","GO:0043035","0.016297781834138658","1.787871500059034","20","22","2","11759","FBGN0040670,FBGN0031435"
"GO:MF","single-stranded DNA exodeoxyribonuclease activity","GO:0008297","0.016627269066491333","1.7791790752992531","9","52","2","11759","FBGN0038608,FBGN0015553"
"GO:MF","single-stranded DNA binding","GO:0003697","0.024241970342138174","1.6154320844256391","51","104","4","11759","FBGN0032929,FBGN0026143,FBGN0032906,FBGN0004698"
"GO:MF","serine-type peptidase activity","GO:0008236","0.02491493072603204","1.603540316012244","303","9","3","11759","FBGN0035887,FBGN0038702,FBGN0003358"
"GO:MF","serine hydrolase activity","GO:0017171","0.02491493072603204","1.603540316012244","303","9","3","11759","FBGN0035887,FBGN0038702,FBGN0003358"
"GO:MF","deoxyribonuclease activity","GO:0004536","0.02491493072603204","1.603540316012244","47","52","3","11759","FBGN0030170,FBGN0038608,FBGN0015553"
"GO:MF","endodeoxyribonuclease activity, producing 5'-phosphomonoesters","GO:0016888","0.027138996443467702","1.5664062158922902","13","52","2","11759","FBGN0030170,FBGN0015553"
"GO:MF","alkaline phosphatase activity","GO:0004035","0.034874305342438586","1.4574944342975673","13","61","2","11759","FBGN0034712,FBGN0038845"
"GO:MF","betaine-homocysteine S-methyltransferase activity","GO:0047150","0.034874305342438586","1.4574944342975673","1","24","1","11759","FBGN0032727"
"GO:MF","insulin receptor binding","GO:0005158","0.03599207153931358","1.4437931566201554","14","2","1","11759","FBGN0036690"
"GO:MF","aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process","GO:1902944","0.03599207153931358","1.4437931566201554","1","28","1","11759","FBGN0032049"
