"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","G protein-coupled receptor activity involved in regulation of postsynaptic membrane potential","GO:0099530","0.045355330668706006","1.3433716624307566","1","16","1","11759","FBGN0000206"
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration","GO:0099583","0.045355330668706006","1.3433716624307566","1","16","1","11759","FBGN0000206"
"GO:MF","L-ascorbate oxidase activity","GO:0008447","0.045355330668706006","1.3433716624307566","1","10","1","11759","FBGN0032116"
"GO:MF","oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor","GO:0016682","0.049383936009084195","1.3064142987924379","5","10","1","11759","FBGN0032116"
"GO:MF","G protein-coupled glutamate receptor activity","GO:0098988","0.049383936009084195","1.3064142987924379","4","16","1","11759","FBGN0000206"
"GO:MF","phosphatidate phosphatase activity","GO:0008195","0.049383936009084195","1.3064142987924379","10","6","1","11759","FBGN0037164"
"GO:MF","sevenless binding","GO:0005118","0.049383936009084195","1.3064142987924379","4","16","1","11759","FBGN0000206"
"GO:MF","phospholipase C activity","GO:0004629","0.049383936009084195","1.3064142987924379","3","14","1","11759","FBGN0262738"
"GO:MF","phosphatidylinositol phospholipase C activity","GO:0004435","0.049383936009084195","1.3064142987924379","3","14","1","11759","FBGN0262738"
"GO:MF","lipid phosphatase activity","GO:0042577","0.049383936009084195","1.3064142987924379","9","6","1","11759","FBGN0037164"
"GO:MF","adenylate cyclase inhibiting G protein-coupled glutamate receptor activity","GO:0001640","0.049383936009084195","1.3064142987924379","4","16","1","11759","FBGN0000206"
"GO:BP","sensory perception of light stimulus","GO:0050953","0.000007399168441521374","5.130817085884076","69","19","5","11706","FBGN0267435,FBGN0037896,FBGN0262738,FBGN0000206,FBGN0002938"
"GO:BP","compound eye photoreceptor development","GO:0042051","0.000007399168441521374","5.130817085884076","89","16","5","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0000206"
"GO:BP","visual perception","GO:0007601","0.000007399168441521374","5.130817085884076","66","19","5","11706","FBGN0267435,FBGN0037896,FBGN0262738,FBGN0000206,FBGN0002938"
"GO:BP","rhabdomere development","GO:0042052","0.000007399168441521374","5.130817085884076","42","13","4","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896"
"GO:BP","protein localization to rhabdomere","GO:1990146","0.000007399168441521374","5.130817085884076","5","19","3","11706","FBGN0037896,FBGN0024943,FBGN0002938"
"GO:BP","eye photoreceptor cell development","GO:0042462","0.000007399168441521374","5.130817085884076","92","16","5","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0000206"
"GO:BP","photoreceptor cell differentiation","GO:0046530","0.000013881540282455937","4.857562342306412","219","16","6","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0024943,FBGN0000206"
"GO:BP","photoreceptor cell development","GO:0042461","0.000013881540282455937","4.857562342306412","108","16","5","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0000206"
"GO:BP","cellular response to light stimulus","GO:0071482","0.00004899820698829018","4.309819811998811","50","19","4","11706","FBGN0262738,FBGN0024943,FBGN0030555,FBGN0002938"
"GO:BP","photoreceptor cell maintenance","GO:0045494","0.00007030060488108787","4.153040938203668","17","19","3","11706","FBGN0262738,FBGN0024943,FBGN0002938"
"GO:BP","eye morphogenesis","GO:0048592","0.00007030060488108787","4.153040938203668","317","16","6","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0262738,FBGN0000206"
"GO:BP","deactivation of rhodopsin mediated signaling","GO:0016059","0.00007030060488108787","4.153040938203668","17","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
"GO:BP","sensory organ morphogenesis","GO:0090596","0.00007030060488108787","4.153040938203668","317","16","6","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0262738,FBGN0000206"
"GO:BP","compound eye morphogenesis","GO:0001745","0.00007030060488108787","4.153040938203668","307","16","6","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0262738,FBGN0000206"
"GO:BP","regulation of rhodopsin mediated signaling pathway","GO:0022400","0.00007865594291608145","4.104268458315275","18","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
"GO:BP","cellular response to radiation","GO:0071478","0.00009320448820868857","4.030563173940708","69","19","4","11706","FBGN0262738,FBGN0024943,FBGN0030555,FBGN0002938"
"GO:BP","retina homeostasis","GO:0001895","0.00009320448820868857","4.030563173940708","20","19","3","11706","FBGN0262738,FBGN0024943,FBGN0002938"
"GO:BP","compound eye photoreceptor cell differentiation","GO:0001751","0.00009320448820868857","4.030563173940708","191","16","5","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0000206"
"GO:BP","eye photoreceptor cell differentiation","GO:0001754","0.00010021677030540904","3.99905959741414","196","16","5","11706","FBGN0259210,FBGN0031414,FBGN0267435,FBGN0037896,FBGN0000206"
"GO:BP","rhodopsin mediated signaling pathway","GO:0016056","0.00012131212161704859","3.916095801867328","23","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
"GO:BP","cellular response to abiotic stimulus","GO:0071214","0.00012730848411518421","3.8951426530499536","81","19","4","11706","FBGN0262738,FBGN0024943,FBGN0030555,FBGN0002938"
"GO:BP","cellular response to environmental stimulus","GO:0104004","0.00012730848411518421","3.8951426530499536","81","19","4","11706","FBGN0262738,FBGN0024943,FBGN0030555,FBGN0002938"
"GO:BP","regulation of G protein-coupled receptor signaling pathway","GO:0008277","0.00019348017334615858","3.7133635321826604","29","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
"GO:BP","phototransduction, visible light","GO:0007603","0.00022904049603986821","3.640087724420861","31","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
"GO:BP","detection of visible light","GO:0009584","0.000579726665036984","3.2367767234137883","43","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
"GO:BP","response to light stimulus","GO:0009416","0.0011291104045977449","2.9472635906141695","150","19","4","11706","FBGN0262738,FBGN0024943,FBGN0030555,FBGN0002938"
"GO:BP","phototransduction","GO:0007602","0.0016334306986410725","2.786899286555074","62","19","3","11706","FBGN0262738,FBGN0030555,FBGN0002938"
