"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705","2.2357871278907618e-7","6.650569548542034","173","208","18","11759","FBGN0030367,FBGN0033367,FBGN0032149,FBGN0033397,FBGN0283437,FBGN0034943,FBGN0001208,FBGN0014469,FBGN0030615,FBGN0051021,FBGN0043043,FBGN0038194,FBGN0034756,FBGN0039755,FBGN0036793,FBGN0036795,FBGN0039754,FBGN0013772"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","0.0000049494298249018235","5.305444828977838","111","57","8","11759","FBGN0029765,FBGN0033294,FBGN0261575,FBGN0020506,FBGN0022700,FBGN0039769,FBGN0053138,FBGN0034117"
"GO:MF","serine-type peptidase activity","GO:0008236","0.000008143887757198594","5.089168220612081","303","177","19","11759","FBGN0038702,FBGN0085487,FBGN0015001,FBGN0003295,FBGN0037038,FBGN0083965,FBGN0032213,FBGN0028517,FBGN0038700,FBGN0035003,FBGN0030775,FBGN0039598,FBGN0038701,FBGN0034052,FBGN0039102,FBGN0262801,FBGN0083966,FBGN0051266,FBGN0035726"
"GO:MF","serine hydrolase activity","GO:0017171","0.000008143887757198594","5.089168220612081","303","177","19","11759","FBGN0038702,FBGN0085487,FBGN0015001,FBGN0003295,FBGN0037038,FBGN0083965,FBGN0032213,FBGN0028517,FBGN0038700,FBGN0035003,FBGN0030775,FBGN0039598,FBGN0038701,FBGN0034052,FBGN0039102,FBGN0262801,FBGN0083966,FBGN0051266,FBGN0035726"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","0.00001369571210364357","4.863415381836978","92","57","7","11759","FBGN0029765,FBGN0033294,FBGN0261575,FBGN0020506,FBGN0022700,FBGN0053138,FBGN0034117"
"GO:MF","monooxygenase activity","GO:0004497","0.000055512236132335486","4.255611278155904","116","141","10","11759","FBGN0030367,FBGN0033367,FBGN0033397,FBGN0283437,FBGN0034943,FBGN0001208,FBGN0014469,FBGN0030615,FBGN0038194,FBGN0034756"
"GO:MF","dipeptidyl-peptidase activity","GO:0008239","0.00006606886869080979","4.1800031296309905","13","205","5","11759","FBGN0038702,FBGN0038700,FBGN0038701,FBGN0035726,FBGN0031741"
"GO:MF","oxidoreductase activity, acting on CH-OH group of donors","GO:0016614","0.00006606886869080979","4.1800031296309905","136","222","13","11759","FBGN0022359,FBGN0000640,FBGN0037975,FBGN0030968,FBGN0283427,FBGN0004057,FBGN0038878,FBGN0000055,FBGN0061356,FBGN0004654,FBGN0030593,FBGN0262782,FBGN0042627"
"GO:MF","iron ion binding","GO:0005506","0.00012412774656614243","3.9061311287860043","155","208","13","11759","FBGN0030367,FBGN0033397,FBGN0001208,FBGN0014469,FBGN0030615,FBGN0043043,FBGN0038194,FBGN0034756,FBGN0039755,FBGN0036793,FBGN0036795,FBGN0039754,FBGN0013772"
"GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","0.0002927556008676252","3.5334947874506963","113","222","11","11759","FBGN0022359,FBGN0000640,FBGN0037975,FBGN0030968,FBGN0283427,FBGN0004057,FBGN0038878,FBGN0000055,FBGN0004654,FBGN0262782,FBGN0042627"
