"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","actin binding","GO:0003779","3.9584244837130904e-10","9.402477635837199","146","83","14","11759","FBGN0264489,FBGN0265991,FBGN0283471,FBGN0264695,FBGN0053519,FBGN0000667,FBGN0023540,FBGN0039897,FBGN0036044,FBGN0026059,FBGN0261836,FBGN0004117,FBGN0053208,FBGN0013733"
"GO:MF","cytoskeletal protein binding","GO:0008092","2.3045911099161614e-7","6.637406117762211","342","83","16","11759","FBGN0264489,FBGN0265991,FBGN0004169,FBGN0283471,FBGN0264695,FBGN0053519,FBGN0002772,FBGN0000667,FBGN0023540,FBGN0039897,FBGN0036044,FBGN0026059,FBGN0261836,FBGN0004117,FBGN0053208,FBGN0013733"
"GO:MF","structural constituent of muscle","GO:0008307","0.0000306104983216709","4.514129600275573","15","15","3","11759","FBGN0005633,FBGN0005666,FBGN0264695"
"GO:MF","actinin binding","GO:0042805","0.0000306104983216709","4.514129600275573","6","39","3","11759","FBGN0264489,FBGN0265991,FBGN0036044"
"GO:MF","calcium ion binding","GO:0005509","0.0000306104983216709","4.514129600275573","205","30","7","11759","FBGN0004169,FBGN0002772,FBGN0033027,FBGN0004242,FBGN0022160,FBGN0000667,FBGN0002773"
"GO:MF","alpha-actinin binding","GO:0051393","0.0000306104983216709","4.514129600275573","6","39","3","11759","FBGN0264489,FBGN0265991,FBGN0036044"
"GO:MF","muscle alpha-actinin binding","GO:0051371","0.0000306104983216709","4.514129600275573","5","39","3","11759","FBGN0264489,FBGN0265991,FBGN0036044"
"GO:MF","actin filament binding","GO:0051015","0.00016634616636259798","3.7789872034922087","77","67","6","11759","FBGN0264695,FBGN0053519,FBGN0000667,FBGN0026059,FBGN0261836,FBGN0004117"
"GO:MF","tropomyosin binding","GO:0005523","0.0003269736671754785","3.4854872218378103","4","16","2","11759","FBGN0004169,FBGN0053519"
"GO:MF","isocitrate dehydrogenase (NAD+) activity","GO:0004449","0.005953822823756242","2.225204093406103","6","49","2","11759","FBGN0027291,FBGN0039358"
"GO:MF","kainate selective glutamate receptor activity","GO:0015277","0.005953822823756242","2.225204093406103","9","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","isocitrate dehydrogenase activity","GO:0004448","0.007673687665556289","2.1149958814324497","7","49","2","11759","FBGN0027291,FBGN0039358"
"GO:MF","structural molecule activity conferring elasticity","GO:0097493","0.014004388559876414","1.8537358479877555","2","5","1","11759","FBGN0005633"
"GO:MF","myosin light chain kinase activity","GO:0004687","0.014004388559876414","1.8537358479877555","3","3","1","11759","FBGN0265045"
"GO:MF","potassium channel activity","GO:0005267","0.014004388559876414","1.8537358479877555","39","56","3","11759","FBGN0026255,FBGN0038840,FBGN0030745"
"GO:MF","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","0.014184148990650635","1.8481967155432364","18","31","2","11759","FBGN0026255,FBGN0038840"
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","0.014184148990650635","1.8481967155432364","18","31","2","11759","FBGN0026255,FBGN0038840"
