"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","mismatched DNA binding","GO:0030983","0.04400512747306651","1.3564967166156612","5","57","2","9275","AAEL001140,AAEL027688"
"GO:MF","voltage-gated calcium channel activity","GO:0005245","0.0776071060908845","1.1100985107680514","6","2","1","9275","AAEL027774"
"GO:MF","calcium channel activity","GO:0005262","0.08398368449719196","1.0758050760936753","20","2","1","9275","AAEL027774"
"GO:MF","hydrolase activity, hydrolyzing O-glycosyl compounds","GO:0004553","0.08398368449719196","1.0758050760936753","89","58","4","9275","AAEL015051,AAEL004931,AAEL003066,AAEL007064"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","0.08398368449719196","1.0758050760936753","104","58","4","9275","AAEL015051,AAEL004931,AAEL003066,AAEL007064"
"GO:MF","calcium ion transmembrane transporter activity","GO:0015085","0.08398368449719196","1.0758050760936753","26","2","1","9275","AAEL027774"
"GO:MF","glucuronosyltransferase activity","GO:0015020","0.08398368449719196","1.0758050760936753","25","33","2","9275","AAEL005375,AAEL010381"
"GO:MF","voltage-gated cation channel activity","GO:0022843","0.08398368449719196","1.0758050760936753","24","2","1","9275","AAEL027774"
"GO:MF","voltage-gated ion channel activity","GO:0005244","0.0904000227863655","1.0438314600557037","35","2","1","9275","AAEL027774"
"GO:MF","voltage-gated channel activity","GO:0022832","0.0904000227863655","1.0438314600557037","35","2","1","9275","AAEL027774"
"GO:MF","double-stranded DNA binding","GO:0003690","0.11091733843198961","0.955000560282136","25","57","2","9275","AAEL001140,AAEL027688"
"GO:MF","taste receptor activity","GO:0008527","0.11589098350495264","0.9359503514942934","9","12","1","9275","AAEL024813"
"GO:MF","gated channel activity","GO:0022836","0.15161944884835735","0.8192450863968251","112","2","1","9275","AAEL027774"
"GO:MF","hexosaminidase activity","GO:0015929","0.15161944884835735","0.8192450863968251","6","36","1","9275","AAEL004931"
"GO:MF","UDP-glycosyltransferase activity","GO:0008194","0.15161944884835735","0.8192450863968251","63","33","2","9275","AAEL005375,AAEL010381"
"GO:MF","cation channel activity","GO:0005261","0.15161944884835735","0.8192450863968251","112","2","1","9275","AAEL027774"
"GO:MF","N-acetyl-beta-D-galactosaminidase activity","GO:0102148","0.15161944884835735","0.8192450863968251","5","36","1","9275","AAEL004931"
"GO:MF","farnesol dehydrogenase activity","GO:0047886","0.15161944884835735","0.8192450863968251","3","53","1","9275","AAEL017320"
"GO:MF","beta-N-acetylhexosaminidase activity","GO:0004563","0.15161944884835735","0.8192450863968251","5","36","1","9275","AAEL004931"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","0.16064387758838827","0.7941358214989955","125","2","1","9275","AAEL027774"
"GO:MF","calcium ion binding","GO:0005509","0.17574373639673063","0.7551201445261283","178","2","1","9275","AAEL027774"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","0.17574373639673063","0.7551201445261283","194","2","1","9275","AAEL027774"
"GO:MF","serine-type endopeptidase activity","GO:0004252","0.17574373639673063","0.7551201445261283","347","50","5","9275","AAEL006376,AAEL005607,AAEL002360,AAEL006585,AAEL005064"
"GO:MF","ion channel activity","GO:0005216","0.17574373639673063","0.7551201445261283","199","2","1","9275","AAEL027774"
"GO:MF","phospholipase A1 activity","GO:0008970","0.17574373639673063","0.7551201445261283","7","44","1","9275","AAEL007063"
"GO:MF","cation transmembrane transporter activity","GO:0008324","0.17574373639673063","0.7551201445261283","201","2","1","9275","AAEL027774"
