"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","NADP binding","GO:0050661","0.07191417929732588","1.1431854714604914","17","89","2","11759","FBGN0035890,FBGN0035964"
"GO:MF","cell adhesion molecule binding","GO:0050839","0.07191417929732588","1.1431854714604914","65","22","2","11759","FBGN0003285,FBGN0028369"
"GO:MF","flavin adenine dinucleotide binding","GO:0050660","0.07191417929732588","1.1431854714604914","69","83","4","11759","FBGN0016054,FBGN0037999,FBGN0033543,FBGN0035890"
"GO:MF","(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity","GO:0070626","0.07191417929732588","1.1431854714604914","1","111","1","11759","FBGN0038467"
"GO:MF","NADPH binding","GO:0070402","0.07191417929732588","1.1431854714604914","1","89","1","11759","FBGN0035964"
"GO:MF","NADH binding","GO:0070404","0.07191417929732588","1.1431854714604914","1","89","1","11759","FBGN0035964"
"GO:MF","uridylyltransferase activity","GO:0070569","0.07191417929732588","1.1431854714604914","5","23","1","11759","FBGN0035978"
"GO:MF","histone methyltransferase activity (H3-R2 specific)","GO:0070611","0.07191417929732588","1.1431854714604914","1","75","1","11759","FBGN0032329"
"GO:MF","G protein-coupled glutamate receptor activity","GO:0098988","0.07191417929732588","1.1431854714604914","4","15","1","11759","FBGN0050361"
"GO:MF","anandamide amidohydrolase activity","GO:0103073","0.07191417929732588","1.1431854714604914","5","5","1","11759","FBGN0037548"
"GO:MF","RNA NAD-cap (NAD-forming) hydrolase activity","GO:0110152","0.07191417929732588","1.1431854714604914","1","93","1","11759","FBGN0030793"
"GO:MF","catalytic activity, acting on a tRNA","GO:0140101","0.07191417929732588","1.1431854714604914","96","109","5","11759","FBGN0029858,FBGN0035064,FBGN0021750,FBGN0034351,FBGN0086443"
"GO:MF","UTP-monosaccharide-1-phosphate uridylyltransferase activity","GO:0051748","0.07191417929732588","1.1431854714604914","1","23","1","11759","FBGN0035978"
"GO:MF","acylglycerol lipase activity","GO:0047372","0.07191417929732588","1.1431854714604914","10","5","1","11759","FBGN0037548"
"GO:MF","rRNA binding","GO:0019843","0.07191417929732588","1.1431854714604914","43","94","3","11759","FBGN0038277,FBGN0010408,FBGN0000100"
"GO:MF","deoxyribodipyrimidine photo-lyase activity","GO:0003904","0.07191417929732588","1.1431854714604914","4","17","1","11759","FBGN0016054"
"GO:MF","N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","GO:0004018","0.07191417929732588","1.1431854714604914","1","111","1","11759","FBGN0038467"
"GO:MF","6,7-dihydropteridine reductase activity","GO:0004155","0.07191417929732588","1.1431854714604914","1","89","1","11759","FBGN0035964"
"GO:MF","nuclease activity","GO:0004518","0.07191417929732588","1.1431854714604914","131","113","5","11759","FBGN0000477,FBGN0029858,FBGN0030793,FBGN0000100,FBGN0030177"
"GO:MF","endonuclease activity","GO:0004519","0.07191417929732588","1.1431854714604914","82","113","4","11759","FBGN0000477,FBGN0029858,FBGN0000100,FBGN0030177"
"GO:MF","deoxyribonuclease II activity","GO:0004531","0.07191417929732588","1.1431854714604914","1","46","1","11759","FBGN0000477"
"GO:MF","ornithine decarboxylase activity","GO:0004586","0.07191417929732588","1.1431854714604914","2","29","1","11759","FBGN0013307"
"GO:MF","orotate phosphoribosyltransferase activity","GO:0004588","0.07191417929732588","1.1431854714604914","1","112","1","11759","FBGN0003257"
"GO:MF","orotidine-5'-phosphate decarboxylase activity","GO:0004590","0.07191417929732588","1.1431854714604914","1","112","1","11759","FBGN0003257"
"GO:MF","aminoacyl-tRNA ligase activity","GO:0004812","0.07191417929732588","1.1431854714604914","38","109","3","11759","FBGN0035064,FBGN0021750,FBGN0086443"
"GO:MF","DNA photolyase activity","GO:0003913","0.07191417929732588","1.1431854714604914","4","17","1","11759","FBGN0016054"
"GO:MF","betaine-homocysteine S-methyltransferase activity","GO:0047150","0.07191417929732588","1.1431854714604914","1","67","1","11759","FBGN0032727"
"GO:MF","uroporphyrinogen decarboxylase activity","GO:0004853","0.07191417929732588","1.1431854714604914","1","82","1","11759","FBGN0033428"
"GO:MF","O-acyltransferase activity","GO:0008374","0.07191417929732588","1.1431854714604914","28","42","2","11759","FBGN0033216,FBGN0033214"
"GO:MF","UTP:glucose-1-phosphate uridylyltransferase activity","GO:0003983","0.07191417929732588","1.1431854714604914","1","23","1","11759","FBGN0035978"
"GO:MF","sodium-independent organic anion transmembrane transporter activity","GO:0015347","0.07191417929732588","1.1431854714604914","8","13","1","11759","FBGN0034715"
"GO:MF","UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity","GO:0003976","0.07191417929732588","1.1431854714604914","1","16","1","11759","FBGN0033392"
"GO:MF","carboxy-lyase activity","GO:0016831","0.07191417929732588","1.1431854714604914","24","112","3","11759","FBGN0013307,FBGN0033428,FBGN0003257"
"GO:MF","ligase activity, forming carbon-oxygen bonds","GO:0016875","0.07191417929732588","1.1431854714604914","38","109","3","11759","FBGN0035064,FBGN0021750,FBGN0086443"
"GO:MF","carbon-halide lyase activity","GO:0016848","0.07191417929732588","1.1431854714604914","1","48","1","11759","FBGN0001149"
"GO:MF","thyroid hormone transmembrane transporter activity","GO:0015349","0.07191417929732588","1.1431854714604914","1","71","1","11759","FBGN0001296"
"GO:MF","SUMO transferase activity","GO:0019789","0.07191417929732588","1.1431854714604914","13","2","1","11759","FBGN0031018"
"GO:MF","lyase activity","GO:0016829","0.07191417929732588","1.1431854714604914","155","112","6","11759","FBGN0016054,FBGN0013307,FBGN0001149,FBGN0033428,FBGN0038467,FBGN0003257"
