"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","secondary active transmembrane transporter activity","GO:0015291","0.06925638032419187","1.1595402105386423","127","111","7","11759","FBGN0034716,FBGN0038652,FBGN0039789,FBGN0051262,FBGN0037807,FBGN0011672,FBGN0261794"
"GO:MF","symporter activity","GO:0015293","0.07388941394865627","1.1314177780193106","67","111","5","11759","FBGN0038652,FBGN0051262,FBGN0037807,FBGN0011672,FBGN0261794"
"GO:MF","anion transmembrane transporter activity","GO:0008509","0.10427946442913186","0.9818012079992016","152","119","7","11759","FBGN0010549,FBGN0034716,FBGN0015558,FBGN0039789,FBGN0037807,FBGN0261794,FBGN0038662"
"GO:MF","protein-cysteine S-acyltransferase activity","GO:0019707","0.10427946442913186","0.9818012079992016","24","1","1","11759","FBGN0036670"
"GO:MF","active transmembrane transporter activity","GO:0022804","0.10427946442913186","0.9818012079992016","245","111","8","11759","FBGN0010549,FBGN0034716,FBGN0038652,FBGN0039789,FBGN0051262,FBGN0037807,FBGN0011672,FBGN0261794"
"GO:MF","S-acyltransferase activity","GO:0016417","0.10427946442913186","0.9818012079992016","30","1","1","11759","FBGN0036670"
"GO:MF","palmitoyltransferase activity","GO:0016409","0.10427946442913186","0.9818012079992016","31","1","1","11759","FBGN0036670"
"GO:MF","nutrient reservoir activity","GO:0045735","0.10427946442913186","0.9818012079992016","6","4","1","11759","FBGN0002563"
"GO:MF","protein-cysteine S-palmitoyltransferase activity","GO:0019706","0.10427946442913186","0.9818012079992016","24","1","1","11759","FBGN0036670"
"GO:MF","acid phosphatase activity","GO:0003993","0.1301811378518591","0.8854519368145382","13","114","2","11759","FBGN0038912,FBGN0000032"
"GO:MF","beta-aspartyl-peptidase activity","GO:0008798","0.1301811378518591","0.8854519368145382","1","55","1","11759","FBGN0030653"
"GO:MF","efflux transmembrane transporter activity","GO:0015562","0.1301811378518591","0.8854519368145382","8","7","1","11759","FBGN0010549"
"GO:MF","volume-sensitive chloride channel activity","GO:0072320","0.1301811378518591","0.8854519368145382","4","21","1","11759","FBGN0015558"
"GO:MF","DNA 5'-adenosine monophosphate hydrolase activity","GO:0033699","0.1301811378518591","0.8854519368145382","1","86","1","11759","FBGN0038704"
"GO:MF","organic anion transmembrane transporter activity","GO:0008514","0.1301811378518591","0.8854519368145382","82","16","2","11759","FBGN0010549,FBGN0034716"
"GO:MF","single-strand break-containing DNA binding","GO:1990165","0.1301811378518591","0.8854519368145382","1","86","1","11759","FBGN0038704"
"GO:MF","phosphoenolpyruvate carboxykinase (GTP) activity","GO:0004613","0.1301811378518591","0.8854519368145382","2","28","1","11759","FBGN0034356"
"GO:MF","methylthioribulose 1-phosphate dehydratase activity","GO:0046570","0.1301811378518591","0.8854519368145382","1","72","1","11759","FBGN0030518"
"GO:MF","phosphoenolpyruvate carboxykinase activity","GO:0004611","0.1301811378518591","0.8854519368145382","2","28","1","11759","FBGN0034356"
"GO:MF","volume-sensitive anion channel activity","GO:0005225","0.1301811378518591","0.8854519368145382","4","21","1","11759","FBGN0015558"
