term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car(Aae)_down	Car(Aae)_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car(Aae)_down_adj_pvalue	Car(Aae)_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0030506	ankyrin binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033163264826391314	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005509	calcium ion binding	GO:MF	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0.03573234237452066	1	1	1	1	0.17574373639673063	1	0.0000066700697095391416	1	1	1	0.0000306104983216709	1	1
GO:0008381	mechanosensitive ion channel activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03573234237452066	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.06211239366632579	1	1	1	1	1	1	1	0.037628431607511115	1	1	1	1	1
GO:0030976	thiamine pyrophosphate binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08040263163998211	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0042302	structural constituent of cuticle	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08040263163998211	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0004806	triglyceride lipase activity	GO:MF	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0.08040263163998211	1	1	1	1	1	1	1	0.0357835349841532	1	0.028179993290968052	1	0.01994008100051976	1
GO:0005214	structural constituent of chitin-based cuticle	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08040263163998211	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005262	calcium channel activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.08040263163998211	1	1	1	1	0.08398368449719196	1	1	1	1	1	1	1	1
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08040263163998211	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008010	structural constituent of chitin-based larval cuticle	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08040263163998211	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016298	lipase activity	GO:MF	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0.08046624589452767	1	1	1	1	1	1	1	0.043867082439274764	1	0.003010398757638158	1	0.001674149549158241	1
GO:0015085	calcium ion transmembrane transporter activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.08046624589452767	1	1	1	1	0.08398368449719196	1	1	1	1	1	1	1	1
GO:0052689	carboxylic ester hydrolase activity	GO:MF	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0.10621408966838333	1	1	1	1	1	1	1	1	1	0.006272210271271563	1	0.00012882676868424724	1
GO:0004222	metalloendopeptidase activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.13130128957113496	1	1	1	1	1	1	1	1	1	1	1	0.012329811899249563	1
GO:0004497	monooxygenase activity	GO:MF	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0.13441654870200787	1	1	0.13403546961552557	1	1	1	1	0.00017078835491916907	1	0.000055512236132335486	1	0.000050383208711232096	1
GO:0005261	cation channel activity	GO:MF	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0.13441654870200787	1	1	1	1	0.15161944884835735	1	1	1	1	1	0.04681430034363212	1	1
GO:0005506	iron ion binding	GO:MF	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0.13441654870200787	1	1	0.15159506020146643	1	1	1	1	0.0003160727598430332	1	0.00012412774656614243	1	0.0007683154250780213	1
GO:0046906	tetrapyrrole binding	GO:MF	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0.13441654870200787	1	1	0.14421704920444248	1	0.17574373639673063	1	1	0.00010575510828068512	1	0.03163625333785687	1	0.00012882676868424724	1
GO:0046873	metal ion transmembrane transporter activity	GO:MF	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0.13441654870200787	1	1	0.15537360531125483	1	0.16064387758838827	1	1	1	1	1	0.035285374816418726	1	1
