Element;ZhengDownReg;GalaxyDownReg;ZhengUpReg;GalaxyUpReg
FBgn0036881;1;1;0;0
FBgn0016920;1;1;0;0
FBgn0265267;1;1;0;0
FBgn0051718;1;0;0;0
FBgn0259099;1;0;0;0
FBgn0041579;1;0;0;0
FBgn0010385;1;0;0;0
FBgn0261803;1;0;0;0
FBgn0033658;1;0;0;0
FBgn0058298;1;1;0;0
FBgn0051619;1;1;0;0
FBgn0033304;1;1;0;0
FBgn0263997;1;0;0;0
FBgn0039343;1;1;0;0
FBgn0033268;1;1;0;0
FBgn0033458;1;1;0;0
FBgn0050196;1;0;0;0
FBgn0002569;1;0;0;0
FBgn0085474;1;1;0;0
FBgn0037164;1;0;0;0
FBgn0039232;1;0;0;0
FBgn0010424;1;1;0;0
FBgn0020908;1;1;0;0
FBgn0002773;1;1;0;0
FBgn0039118;1;0;0;0
FBgn0038957;1;0;0;0
Novel00027;1;0;0;0
FBgn0037447;1;1;0;0
FBgn0039827;1;1;0;0
FBgn0037577;1;0;0;0
FBgn0036765;1;0;0;0
FBgn0034804;0;1;0;0
FBgn0265203;0;1;0;0
FBgn0265312;0;1;0;0
FBgn0034165;0;0;1;0
FBgn0036529;0;0;1;0
FBgn0028878;0;0;1;0
FBgn0052054;0;0;1;0
FBgn0032839;0;0;1;0
FBgn0263589;0;0;1;1
FBgn0034837;0;0;1;1
FBgn0031879;0;0;1;1
FBgn0029091;0;0;1;0
FBgn0039342;0;0;1;0
FBgn0031074;0;0;1;0
FBgn0250815;0;0;1;0
FBgn0032914;0;0;1;0
FBgn0035176;0;0;1;0
FBgn0035665;0;0;1;0
FBgn0032049;0;0;1;0
Novel00004;0;0;1;0
FBgn0033296;0;0;1;0
FBgn0267225;0;0;1;0
FBgn0262101;0;0;1;0
FBgn0265416;0;0;1;0
FBgn0264698;0;0;1;0
FBgn0265457;0;0;1;1
FBgn0010357;0;0;1;0
FBgn0032124;0;0;1;0
FBgn0262870;0;0;1;0
FBgn0267431;0;0;1;0
FBgn0030569;0;0;1;0
FBgn0050371;0;0;1;0
FBgn0026175;0;0;1;1
FBgn0040370;0;0;1;1
FBgn0015037;0;0;1;0
FBgn0020912;0;0;1;0
FBgn0262104;0;0;1;1
FBgn0032435;0;0;1;0
FBgn0262534;0;0;1;0
FBgn0038733;0;0;1;0
FBgn0052719;0;0;1;0
FBgn0039452;0;0;1;1
FBgn0036809;0;0;1;0
FBgn0050401;0;0;1;1
FBgn0033250;0;0;1;0
FBgn0035608;0;0;1;0
FBgn0028369;0;0;1;0
FBgn0031296;0;0;1;0
FBgn0267015;0;0;1;0
FBgn0051477;0;0;1;0
FBgn0032084;0;0;1;1
FBgn0028872;0;0;1;0
Novel00020;0;0;1;0
FBgn0028396;0;0;1;1
FBgn0030999;0;0;1;1
FBgn0038717;0;0;1;0
FBgn0003710;0;0;1;0
FBgn0035673;0;0;1;1
FBgn0034717;0;0;1;0
FBgn0038680;0;0;1;0
FBgn0037519;0;0;1;0
FBgn0037934;0;0;1;0
FBgn0038718;0;0;1;1
FBgn0032116;0;0;1;1
FBgn0031523;0;0;1;1
Novel00012;0;0;1;0
FBgn0038719;0;0;1;0
FBgn0266129;0;0;1;0
FBgn0050277;0;0;1;0
FBgn0266704;0;0;1;0
FBgn0028993;0;0;1;0
FBgn0046776;0;0;1;1
FBgn0031343;0;0;1;0
FBgn0037217;0;0;1;0
FBgn0034797;0;0;1;0
FBgn0032669;0;0;1;0
FBgn0052364;0;0;1;1
FBgn0083977;0;0;1;0
FBgn0052816;0;0;1;0
FBgn0038658;0;0;1;1
FBgn0025454;0;0;1;0
FBgn0029896;0;0;1;0
FBgn0265316;0;0;1;0
FBgn0031337;0;0;1;1
FBgn0058470;0;0;1;0
FBgn0051663;0;0;1;0
FBgn0030593;0;0;1;0
FBgn0040349;0;0;1;0
FBgn0040056;0;0;1;0
FBgn0033257;0;0;1;0
FBgn0031522;0;0;1;0
FBgn0263038;0;0;1;0
FBgn0037520;0;0;1;0
FBgn0035094;0;0;1;0
FBgn0028886;0;0;1;1
FBgn0038938;0;0;1;0
FBgn0030331;0;0;1;0
FBgn0031517;0;0;1;0
FBgn0250757;0;0;1;1
FBgn0037409;0;0;1;0
FBgn0033093;0;0;1;1
FBgn0044046;0;0;1;0
FBgn0038681;0;0;1;0
FBgn0051661;0;0;1;0
FBgn0031010;0;0;1;0
FBgn0030613;0;0;1;0
FBgn0030065;0;0;1;0
FBgn0032913;0;0;1;0
FBgn0024995;0;0;1;0
FBgn0040260;0;0;1;0
FBgn0085195;0;0;1;0
FBgn0024944;0;0;1;0
FBgn0016684;0;0;1;0
FBgn0052645;0;0;1;0
FBgn0266005;0;0;1;0
FBgn0267728;0;0;1;1
FBgn0024366;0;0;1;0
FBgn0039530;0;0;1;0
FBgn0259224;0;0;1;0
FBgn0262895;0;0;1;1
FBgn0038412;0;0;1;0
FBgn0085428;0;0;0;1
FBgn0260005;0;0;0;1
FBgn0039350;0;0;0;1
FBgn0036690;0;0;0;1
FBgn0039993;0;0;0;1
FBgn0032783;0;0;0;1
FBgn0027070;0;0;0;1
