term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car_down	Car_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car_down_adj_pvalue	Car_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0030506	ankyrin binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07730200006937729	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.07730200006937729	1	1	1	1	1	1	1	0.07584039238869222	1	1	1	1	1
GO:0005509	calcium ion binding	GO:MF	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0.07730200006937729	0.20593271973875202	0.636391330652274	0.6593742506506911	1	1	0.7823650933100535	0.0000042946047650660395	0.6400421755350547	0.07199362819812072	0.8399306598897158	0.0006261332331894863	0.8055386954615631	1
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.08998649708363873	1	1	1	1	1	1	1	0.1323113397536298	1	1	1	1	1
GO:0030976	thiamine pyrophosphate binding	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0.08998649708363873	1	1	1	1	1	1	1	0.11676572662200901	1	1	1	0.13106060132538347	1
GO:0008381	mechanosensitive ion channel activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08998649708363873	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043169	cation binding	GO:MF	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0.1195181789438569	0.8512816589075601	0.7508635080493737	0.5779489705590151	0.998447827	0.93800281	0.3600997519279599	0.012103080319718228	0.002496265649679797	0.17340226277181073	0.15662813260261838	0.011151827192136575	0.016956072654657026	1
GO:0005262	calcium channel activity	GO:MF	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0.35688361628097853	0.2584003767379876	1	1	0.17902907	1	1	0.15432241597411128	1	1	1	0.3378938945640281	1	1
GO:0004806	triglyceride lipase activity	GO:MF	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0.35688361628097853	1	1	1	1	0.324605094	0.49481181048635214	1	0.5207971035647612	1	0.06041598294771451	1	0.08821883417472272	1
GO:0046872	metal ion binding	GO:MF	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0.35688361628097853	0.8512816589075601	0.7500205010197855	0.5695792446377433	0.998447827	0.93800281	0.35452232963778385	0.011113522790797265	0.009374457044350653	0.17340226277181073	0.31943338504558977	0.010962441474606592	0.03437649960174031	1
