term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car_down	Car_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car_down_adj_pvalue	Car_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07730200006937729	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005509	calcium ion binding	GO:MF	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0.07730200006937729	1	1	1	1	1	1	0.000013556629833852204	1	1	1	0.005283187840316303	1	1
GO:0030506	ankyrin binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07730200006937729	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008381	mechanosensitive ion channel activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08998649708363873	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08998649708363873	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0030976	thiamine pyrophosphate binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08998649708363873	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043169	cation binding	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.1195181789438569	1	1	1	1	1	1	1	0.037377639435199485	1	1	1	1	1
KEGG:00310	Lysine degradation	KEGG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021452650934722595	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG:00380	Tryptophan metabolism	KEGG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021452650934722595	1	1	1	1	1	1	1	1	1	1	1	1	1
HP:0410309	Alpha-aminoadipic aciduria	HP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14988131570021213	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016722	oxidoreductase activity, acting on metal ions	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.02999635207811189	1	1	1	1	1	1	1	1	1	1	1	1
GO:0008447	L-ascorbate oxidase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09354536950418879	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016175	superoxide-generating NAD(P)H oxidase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12439339070129951	1	1	1	1	1	1	1	1	1	1	1	1
GO:0015293	symporter activity	GO:MF	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0.12439339070129951	1	0.04378550829283524	1	1	1	1	1	1	1	1	1	1
GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12439339070129951	1	1	1	1	1	1	1	1	1	1	1	1
GO:0000293	ferric-chelate reductase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12439339070129951	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.13315970004970723	1	1	1	1	1	1	1	1	1	1	1	1
GO:0022857	transmembrane transporter activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.14263635167514419	1	1	1	1	1	1	1	1	1	1	1	1
GO:0005215	transporter activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.14263635167514419	1	1	1	1	1	1	1	1	1	1	1	1
GO:0004322	ferroxidase activity	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.14263635167514419	1	1	1	1	1	1	1	1	1	1	1	1
GO:0016724	oxidoreductase activity, acting on metal ions, oxygen as acceptor	GO:MF	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.14263635167514419	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009415	response to water	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.05780558555941017	1	1	1	1	1	1	1	1	1	1	1	1
GO:0055072	iron ion homeostasis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.08861936614343167	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006826	iron ion transport	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.08861936614343167	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006812	cation transport	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.08861936614343167	1	1	1	1	1	1	1	1	1	1	1	1
GO:0001101	response to acid chemical	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.08861936614343167	1	1	1	1	1	1	1	1	1	1	1	1
GO:0051597	response to methylmercury	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0106024	negative regulation of pupariation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:1902064	regulation of transcription from RNA polymerase II promoter involved in spermatogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0045987	positive regulation of smooth muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0045933	positive regulation of muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043950	positive regulation of cAMP-mediated signaling	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0035260	internal genitalia morphogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0033215	reductive iron assimilation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048581	negative regulation of post-embryonic development	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0042554	superoxide anion generation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0000041	transition metal ion transport	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.09965423157840597	1	1	1	1	1	1	1	1	1	1	1	1
GO:0055076	transition metal ion homeostasis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10715841594591935	1	1	1	1	1	1	1	1	1	1	1	1
GO:0106023	regulation of pupariation	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10862549193824932	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006811	ion transport	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10862549193824932	1	1	1	1	1	1	1	1	1	1	1	1
GO:0046689	response to mercury ion	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10862549193824932	1	1	1	1	1	1	1	1	1	1	1	1
GO:0009270	response to humidity	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10862549193824932	1	1	1	1	1	1	1	1	1	1	1	1
GO:0033212	iron import into cell	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.10862549193824932	1	1	1	1	1	1	1	1	1	1	1	1
GO:0071478	cellular response to radiation	GO:BP	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0.11370581319478287	1	1	0.000013322745126629323	1	1	1	1	1	1	1	1	1
GO:0098729	germline stem cell symmetric division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11370581319478287	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048807	female genitalia morphogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11370581319478287	1	1	1	1	1	1	1	1	1	1	1	1
GO:0048804	imaginal disc-derived female genitalia morphogenesis	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11370581319478287	1	1	1	1	1	1	1	1	1	1	1	1
GO:0098730	male germline stem cell symmetric division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11370581319478287	1	1	1	1	1	1	1	1	1	1	1	1
GO:0006940	regulation of smooth muscle contraction	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11370581319478287	1	1	1	1	1	1	1	1	1	1	1	1
GO:0104004	cellular response to environmental stimulus	GO:BP	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0.12049925853846084	1	1	0.0000253068688725563	1	1	1	1	1	1	1	1	1
GO:0048580	regulation of post-embryonic development	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12049925853846084	1	1	1	1	1	1	1	1	1	1	1	1
GO:0071214	cellular response to abiotic stimulus	GO:BP	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0.12049925853846084	1	1	0.0000253068688725563	1	1	1	1	1	1	1	1	1
GO:0098724	symmetric stem cell division	GO:BP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.12049925853846084	1	1	1	1	1	1	1	1	1	1	1	1
