term_id	term_name	term_source	He_down	He_up	Lind_down	Lind_up	Car_down	Car_up	Bai_F_abd_down	Bai_F_abd_up	Bai_F_head_down	Bai_F_head_up	Bai_M_abd_down	Bai_M_abd_up	Bai_M_head_down	Bai_M_head_up	Mean_adj_pvalue	He_down_adj_pvalue	He_up_adj_pvalue	Lind_down_adj_pvalue	Lind_up_adj_pvalue	Car_down_adj_pvalue	Car_up_adj_pvalue	Bai_F_abd_down_adj_pvalue	Bai_F_abd_up_adj_pvalue	Bai_F_head_down_adj_pvalue	Bai_F_head_up_adj_pvalue	Bai_M_abd_down_adj_pvalue	Bai_M_abd_up_adj_pvalue	Bai_M_head_down_adj_pvalue	Bai_M_head_up_adj_pvalue
GO:0030506	ankyrin binding	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077302	0.077302	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.076571196	0.077302	1	1	1	1	1	1	1	0.075840392	1	1	1	1	1
GO:0005509	calcium ion binding	GO:MF	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0.037481514	0.077302	0.20593272	0.636391331	0.659374251	1	1	0.782365093	4.2946E-06	0.640042176	0.071993628	0.83993066	0.000626133	0.805538695	1
GO:0016624	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111148918	0.089986497	1	1	1	1	1	1	1	0.13231134	1	1	1	1	1
GO:0030976	thiamine pyrophosphate binding	GO:MF	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0.112604275	0.089986497	1	1	1	1	1	1	1	0.116765727	1	1	1	0.131060601	1
GO:0008381	mechanosensitive ion channel activity	GO:MF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089986497	0.089986497	1	1	1	1	1	1	1	1	1	1	1	1	1
GO:0043169	cation binding	GO:MF	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0.032445085	0.119518179	0.851281659	0.750863508	0.577948971	0.998447827	0.93800281	0.360099752	0.01210308	0.002496266	0.173402263	0.156628133	0.011151827	0.016956073	1
GO:0005262	calcium channel activity	GO:MF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.356883616	0.258400377	1	1	0.17902907	1	1	0.154322416	1	1	1	0.337893895	1	1
GO:0004806	triglyceride lipase activity	GO:MF	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0.074317409	0.356883616	1	1	1	1	0.324605094	0.49481181	1	0.520797104	1	0.060415983	1	0.088218834	1
GO:0046872	metal ion binding	GO:MF	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0.01645673	0.356883616	0.851281659	0.750020501	0.569579245	0.998447827	0.93800281	0.35452233	0.011113523	0.009374457	0.173402263	0.319433385	0.010962441	0.0343765	1
