term_id	term_name	Dm_F_wh_L(up)	Dm_F_wh_L(down)	Dm_F_ov(up)	Dm_F_ov(down)	Dp_F_ab(up)	Dp_F_ab(down)	Dp_F_hd(up)	Dp_F_hd(down)	Dp_M_ab(up)	Dp_M_ab(down)	Dp_M_hd(up)	Dp_M_hd(down)	Dm_F_wh_D(up)	Dm_F_wh_D(down)	Dm_M_ts(up)	Dm_M_ts(down)	Af_F_wh(up)	Af_F_wh(down)
GO:0000077	DNA damage checkpoint signaling	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042770	signal transduction in response to DNA damage	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042539	hypotonic salinity response	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042158	lipoprotein biosynthetic process	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0042157	lipoprotein metabolic process	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0040005	chitin-based cuticle attachment to epithelium	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0038166	angiotensin-activated signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0036498	IRE1-mediated unfolded protein response	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035610	protein side chain deglutamylation	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0035608	protein deglutamylation	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0035114	imaginal disc-derived appendage morphogenesis	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0035107	appendage morphogenesis	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0033345	asparagine catabolic process via L-aspartate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0031570	DNA integrity checkpoint signaling	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030514	negative regulation of BMP signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030510	regulation of BMP signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0019626	short-chain fatty acid catabolic process	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0019543	propionate catabolic process	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0019541	propionate metabolic process	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0019481	L-alanine catabolic process, by transamination	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019432	triglyceride biosynthetic process	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0019401	alditol biosynthetic process	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0018345	protein palmitoylation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018231	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043542	endothelial cell migration	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018230	peptidyl-L-cysteine S-palmitoylation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0045752	positive regulation of Toll signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0046327	glycerol biosynthetic process from pyruvate	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:1990776	response to angiotensin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1904385	cellular response to angiotensin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0106217	tRNA C3-cytosine methylation	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098943	neurotransmitter receptor transport, postsynaptic endosome to lysosome	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098656	anion transmembrane transport	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098653	centromere clustering	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090288	negative regulation of cellular response to growth factor stimulus	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0090150	establishment of protein localization to membrane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0072765	centromere localization	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0072329	monocarboxylic acid catabolic process	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0071477	cellular hypotonic salinity response	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0071476	cellular hypotonic response	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0061330	Malpighian tubule stellate cell differentiation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0055071	manganese ion homeostasis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0050830	defense response to Gram-positive bacterium	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0
GO:0050829	defense response to Gram-negative bacterium	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
GO:0048737	imaginal disc-derived appendage development	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0048736	appendage development	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0048260	positive regulation of receptor-mediated endocytosis	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0046463	acylglycerol biosynthetic process	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
GO:0046460	neutral lipid biosynthetic process	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
GO:0046395	carboxylic acid catabolic process	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0045837	negative regulation of membrane potential	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018198	peptidyl-cysteine modification	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035120	post-embryonic appendage morphogenesis	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:2000497	positive regulation of cell proliferation involved in compound eye morphogenesis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006530	asparagine catabolic process	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007384	specification of segmental identity, thorax	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006971	hypotonic response	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006497	protein lipidation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008592	regulation of Toll signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016182	synaptic vesicle budding from endosome	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0009636	response to toxic substance	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
GO:0008063	Toll signaling pathway	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006612	protein targeting to membrane	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006114	glycerol biosynthetic process	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0007473	wing disc proximal/distal pattern formation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016054	organic acid catabolic process	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0015882	L-ascorbic acid transmembrane transport	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0007476	imaginal disc-derived wing morphogenesis	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0010739	positive regulation of protein kinase A signaling	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
