term_id	term_name	Dm_F_wh_L(up)	Dm_F_wh_L(down)	Dm_F_ov(up)	Dm_F_ov(down)	Dp_F_ab(up)	Dp_F_ab(down)	Dp_F_hd(up)	Dp_F_hd(down)	Dp_M_ab(up)	Dp_M_ab(down)	Dp_M_hd(up)	Dp_M_hd(down)	Dm_F_wh_D(up)	Dm_F_wh_D(down)	Dm_M_ts(up)	Dm_M_ts(down)	Af_F_wh(up)	Af_F_wh(down)
GO:0030678	mitochondrial ribonuclease P complex	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GO:0016324	apical plasma membrane	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
GO:0098636	protein complex involved in cell adhesion	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000795	synaptonemal complex	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0099086	synaptonemal structure	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030990	intraciliary transport particle	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0098590	plasma membrane region	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
GO:0097730	non-motile cilium	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0035861	site of double-strand break	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0090734	site of DNA damage	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0045177	apical part of cell	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
GO:0000794	condensed nuclear chromosome	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
GO:0030677	ribonuclease P complex	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005917	nephrocyte diaphragm	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030992	intraciliary transport particle B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0036056	filtration diaphragm	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030496	midbody	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0031226	intrinsic component of plasma membrane	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0
GO:0030991	intraciliary transport particle A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0048788	cytoskeleton of presynaptic active zone	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0099569	presynaptic cytoskeleton	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000793	condensed chromosome	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0140715	serine-tRNA ligase complex	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005887	integral component of plasma membrane	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
